,TITLE,DATE,RATING,REVIEW
10,incredible f1 weekend,2022 - 10,5,wonderful stay f1 weekend newly renovate room balcony overlook turn 13 whole marina bay attentive staff excellent food pool deck great view singapore river downtown huge thank terry team give amazing weekend memory
11,super hotel niggle,2022 - 09,5,early arrival damp september morning high expectation slightly deflate get immediate early check temper coffee cake provide kind staff member allocate room 1030 pay 660 pre authorisation feel little unreasonable however downside remainder stay memorable room luxurious super view quay every item one wish hand concierge even provide umbrella breakfast buffet excellent whole team work extremely hard outstanding hotel niggle tell table available jade return couple hour later look much smart immediately show table dinner jade though expensive superb enjoy every mouthful niggle aside comfort quality superb
12,nice forgettable,2022 - 09,3,pleasant stay kid nothing memorable kid love bed bath tub tv channel breakfast spread like hotel much activity kid family friendly hotel begin request small cake celebrate belate birthday attend even ask twice learn friend kid usually receive mini fullerton bear checkin request 1 check turn ignore concierge would nice stay couple family probably come
13,beautiful hotel great location,2022 - 08,4,second stay fullerton hotel love old world charm hotel well location close river lot restaurant raffle mrt station staff extremely friendly helpful making feel right home special mention must go sall around pool always greet smile ice cold water love chat guest real credit hotel stay heritage room overlook marina keep clean plenty towel maybe could replenish soap etc bit regularly eat breakfast town restaurant every morning although variety fantastic western style food always cold except freshly make egg matter start service couple hour major issue need rectify also eat seafood buffet one night quite disappointing price pay pool area spectacular great way spend hour sightseeing wait return next visit singapore
14,great 3 night stay strait club,2022 - 09,5,excellent stay fullerton 3 night september enjoy strait club breakfast afternoon tea evening cocktail canap crystal ryan wonderful attentive throughout stay wait come back family easter time next year
15,location room superior,2022 - 09,4,stay twice week two seperate booking room renovate views bay room service amazing suit palate flight delay third night disaster due airline cancel flight issue take last room seem available hot unrenovated level 4 sadly hotel fully book due grand prix lead room oversized window stand chair view could resist take photo husband 64 overall like stay last night stay substandard price tag stand team member chandra door help room swap front door
16,staff,2022 - 09,5,chandra nice service great excellent job offer call taxi every time see lobby staff great recommendation well cleaning service excellent need worry
17,fantastic hotel,2022 - 09,5,amazing hotel amazing service checkin flawless room well appoint refreshing need room everything neat clean showing sign wear tear mini bar snack great breakfast cafe lobby good complaint whatsoever ever look old world charm new amenity place stay guest two thing consider hotel gift shop need med drink snack 24 hr 711 less 10min walk also terrible experience spa hold hotel give separate careful booking service spa never
18,luxury overlook bay,2022 - 09,5,love service room hotel conveniently locate train small balcony overlook bay room quiet well appoint comfortable pool small skip use town restaurant good breakfast buffet
19,daughter 22nd birthday,2022 - 09,4,family staycation palladian suite satisfactory staff commendable strait club privilege excellent dine well town restaurant courtyard mr kumar duty mgr latter go way wrap staycation distinction accommodate need spa excellent improvement make ensure room amenity prepared number register adult upon check waste time request third everything slipper bath robe towel tooth brush etc family 3 despite request make reservation open visit fullerton
20,nice historic hotel walking distance tourist business district food area expect nonhalal kitchen request halal,2022 - 09,5,well maintain historic hotel heart singapore stay family 4 drive way kuala lumpur concierge helpful frontdesk make feel checkin effortless arrive main entrance nice ambiance serenity friendliness greet among hotel stay nice scent air breakfast scrumptious although kitchen halal certify opt mostly vegetarian seafood still good range selection kid thrill give colour kit free scoop ice cream price wise bit pricey think standard price class pool hand bite small nothing fancy kid really want dive room well maintain although lift locate either end building room right smack middle expect little bit walk compare near lift location wise well near food outlet historic location business district tourist attraction
21,sabah malaysia,2022 - 09,5,superb facility comfortable room strategic location concierge service specially chandra awesome guide check counter introduce function room carry luggage bag smile care plus look cab sit back rest well
22,luxurious hotel,2022 - 08,5,luxurious hotel historic feature classical beauty hotel first last classic moody hotel bustle city center esay meet view famous marinabay hotel angle within 5 min walk distance afternoon tea set oppulent accompany relax music great location walk away trendy hotspot
23,top notch property,2022 - 08,5,truly high end property would recommend place mb sand day feel exclusive swarm tourist find across bay pleased room size staff service
24,amazing hotel,2022 - 09,5,first time ever visit fullerton hotel singapore last week awe beautiful super clean room friendly staff breakfast buffet world even piece birthday cake arrival roomso thoughtful hope next visit singapore stay recommendable
25,great location decor terrible service,2022 - 09,3,come fullerton hotel singapore business conference location convenient decor immaculate would love visit location however service staff quite unhelpful prefer tell know instead give assistance try find charge port work one wall port work try look around lobby instead direct function port prefer tell allow sit location sure kind service would like bring client think pan pacific would well choice
26,want good hotel singapore,2022 - 09,5,stay fullerton number time previously never disappoint truly fabulous hotel every aspect time stay 9 day room clean comfortable great view marina bay bathroom spotless lot space amenity room floor strait club access easy nicholas siti team strait club usual proactive attentive extremely helpful food drink high quality tempting ryan chia yi crystal zep provide exceptional service make stay enjoyable take fullerton heritage tour time bill tour guide knowledgeable tour bring back wonderful memory use post letter gpo live singapore many year ago build tastefully renovate still keep many original gpo feature hotel situate great location easy walk mrt bus also front hotel river walk pleasant look forward visit early next year
27,wonderful staycation,2022 - 09,5,holistic service provide fullerton hotel nothing short perfect restaurant courtyard inroom dining service could tell staff train well reflect impeccable service provide short stay special mention lalikumar pardon spelling courtyard attention detail highly commendable know family certain dietary restriction go beyond duty cater substitute item high tea set thank awesome stay look forward another superb staycation fullerton hotel hopefully near future
28,good honeymoon start,2022 - 09,5,stunning hotel staff could help room beautiful bathroom huge lovely touch give delicious cake celebrate honeymoon location fantastic walking distance fullerton bay embankment overlook marina bay sand breakfast unbelievable quite hefty cost well worth return singapore hope love sure stay
29,fullerton hotel,2022 - 09,5,lovely hitea set live entertainment wonderful harp performance movie disney soundtrack happy serve mr lalikumar hitea exquisite delicious variety tea coffee choice
30,fullerton hotel,2022 - 09,5,lalikumar great service friendly great day enjoy nice music nice ambience good place enjoy friend family thank alot
31,good everything,2022 - 09,5,stay quay room 7th floor beautifull view balcony climb chair good view see two legendary bridge boat quay asian civilitation museum parlement house raffles statue uob tower etc beautifull view swim pool thank sall pool guard good man give information everything food cake delicious lunch buffet great love thank give slice cake husband birthday slice cake love herritage walk tour thank linda good herritage tour guide back sure
32,great location grand hotel,2022 - 09,4,stay 5 night premier courtyard room room refurbish bathroom huge singapore hotel standard keep curtain close time pick fullerton like hotel character lot 5 star hotel opinion soulless location fabulous thing interest close merlion waterway great train station close well staff stand concierge front door man share tip quick transportation route etc breakfast plentiful wish go 11 instead 1030am like sleep holiday able use facility check shower extremely helpful flight late evening surround area pretty night boat quay clarke quay easy walk even humidity would stay
33,fullerton suite family four,2022 - 09,5,book 1 night weekday staycation fullerton family four hotel beautifully present lobby staff helpful friendly check quick easy receive upgrade suite arrival tell upgrade desk website picture look like fullerton suite suite big balcony view onto river partially onto baymb main bed comfortable kid sleep well sofa bed additional roll service strait club excellent particularly want commend crystal ryan attentiveness level service tip club level checkin 3 pm first seating afternoon tea 1303pm want arrive early could relax tea club wait room pool long slightly rhonboid shape nice view onto singapore river water warm nice kid sure get crowd weekend nice touch free scoop ice cream kid overall big thumb would love stay
34,fantastic hotel location,2022 - 07,5,fantastic stay fullertonfrom arrive everyone make welcome seem like importancelocation superbmrt place interest boat quay food drinksbreakfast superb great choice food serviceroom nice airythe toilet futuristic gadgetswould definitely recommendand always stay singapore
35,fabulous stay family,2022 - 09,5,first stay fullerton hotel I deeply impress service cleanliness everything checkin seamless quick receptionist considerate ask child allow ice cream offer 4 year old name tag lanyard entitle 2 round ice cream crayon activity book girl break crayon upset receptionist happily offer new set together activity book much delight call flat pillow child give child pillow instead exactly wish wait long come impressively greet call service wifi speedy although really need infinity pool beautiful overlook water request extra bed arrive room celebrate birthday get slice chocolate cake extra rich yummy deliver room oh breakfast buffet spread fantastic everything freshly prepare beautifully set waitress quick clear use utensil cutlery check fast return room key wonderful heritage hotel pay attention every single detail definitely feel welcome local visitor
36,singapore holiday,2022 - 08,5,another stay fullerton singapore 4th visit always sad leave fullerton feel pampered stay staff exceptional friendly never fail go extra mile ensure guest feel totally spoil fullerton classic colonial experience centrally locate perfect base explore singapore wife love escape australia cold winter spending week beautiful friendly fullerton hotel singapore wait return
37,heritage build great location,2022 - 08,4,visit singapore first time august 22 post pandemic stay beautiful heritage hotel central location near financial district external facade maintain heritage character quite modern internally smooth check check experience room large specious modern amenity breakfast spread excellent overall service level good location hotel excellent overlook singapore river walk distance financial district boat quay hotel expensive despite pay 400 give room internal side overall like heritage build central location great option singapore
38,fullerton singapore,2022 - 09,5,singapore many time really love place time treat fullerton visit would always come coffee room beautiful comfortable housekeeping good would like give special thank crystal ryan siti zep chiayi nicholas wonderful service strait cluba course chef great food atmosphere relax friendly would definitely recommend stay beautiful hotel
39,excellence service,2022 - 08,5,first time stay fullerton hotel service excellence team lounge professional care esp nichola remember meet schedule arrange breakfast swiftly ensure enough time meal preparation meeting also crystal give memorable service give scarf get cold remembered favorite tea always get perfect table plug available lastly juliet house keeping team also save day locate miss airpod case room literally expect hotel find look everywhere room include trash lol really enjoy pleasant stay
40,21 year reunion 5 star way,2022 - 08,5,spend many month work singapore stay fullerton honestly say improved greatness gorgeous view stunning breakfast christine staff impeccable even get shower rest 1 flight checking lot spend worth
41,great view great location clean,2022 - 01,3,great view convenient location recommend family go staycation family average service front desk great service check staff pleasant experience check staff great service provide staff restaurant breakfast welcome serve staff attentive friendly plumbing issue bathtub able drain water call helpdesk plumber come fix take 4560mins spider webs fixture cleaniness room give rather positive reputation hotel expect little quite disappointed requested baby cot clean decide use end tear stain seem saliva mark cot expect brand new one least one customer would feel comfortable put kid airconditione air conditioning seem work well switch low temperature still rather warm try adjust time avail overall pleasant stay room save grace staff restaurant breakfast
42,luxurious stay,2022 - 08,5,hotel room excellent stunning view marina bay also joyous menu jade restaurant high tea courtyard cafe sumptuous service great high tea also harpist play add nice ambience
43,complement,2022 - 08,5,like thank staff especilly samirah excellent service give extra confortable bed even though stay 1 night thank good view room big nice wil stay afford thank much
44,rare gem hotel,2022 - 08,5,second time stay hotel greet kate front desk smile even though last stay jan last year recongise remember last visit feel like come home ensure room good view clean hand key us room flawless amazing view service top notch perfect even check serve another staff come ask everything ok definitely gem hotel
45,staycation,2022 - 08,5,abigail bali kumar ariel professional friendly show passion work feel welcome experience pleasant warm definitely come thank
46,holiday,2022 - 08,5,stay fullerton hotel singapore much enjoy stay time even well hotel historic beautiful staff amazing friendly service unequalle experience around world special thank chai yi nicholas ryan siti crystal zep straits club go beyond make stay incredible regard people friend sall pool always fantastic professional friendly staff fullerton hotel definitely back soon mark wright
47,first class accommodation,2022 - 08,5,antonio renolayan wonderful experience fullerton hotel I stay several hotel singapore top list good stay experience ever high quality room high quality service customer service superb every staff member encounter reservation mr valent director sale prompt respond inquiry valet cleaning staff check importantly darshawn katie joe delightful eager help go beyond make stay comfortable enjoyable darshawn ensure I satisfied room well I house guest please give staff award exceptional customer service addition cristina daily breakfast provide well exceptional service hospitable every need mine bz cristina thank property fantastic old time charm highly recommend anyone visit singapore
48,national day weekend celebration fullerton hotel,2022 - 07,5,stay short vacation singapore national day fullerton team deck entire hotel conjunction 57th anniversary delight old school local snack hand flag welcome joyous occasion morning event receive national day theme chocolate night ndp overall service top notch would like say thank front office team helpful way doorman concierge front desk hope return next year soak atmosphere
49,want spoil rotten stay fullerton hotel singapore,2022 - 07,5,warningbooke staycation fullerton celebrate anniversary might make half look bad team really go way make sure well take care right start check shermaine front desk nicholas team strait lounge even entertaining guide charmed inlaws heritage tour prebooke certainly brownie point law invite next day join lunch mention sweet surprise find room include thoughtful card general manager gino tan picturesque backdrop take countless photo pool capture memorable stay head feast elaborate chinese meal jade admire talente chef culinary work art cuisine handmade pottery dessert display feel guilty leave kid home perhaps next time plan family staycation book heritage tour appreciate historical beauty wonderful story thank team hubby thank make job easy one
50,impeccable service,2022 - 08,5,third time stay staycation hotel always highly recommend hotel friend family little hiccup start late stay senior duty manager shazwan promptly solve issue even go extra mile provide great memorable stay
51,good service provide,2022 - 08,5,first time come visit new hotel buffet enjoy nice time spend friend lewis provide good service treat guest nice friendly environment good see soon
52,fullerton hotel singapore,2022 - 08,4,delight thank mr joshua chua team member excellent service smooth speedy checkin 20 aug 2022 check 21 aug 2022 breeze comfortable stay hesitate recommend hotel friend ms tan mr sim
53,pure luxury,2022 - 08,5,love love love beautiful grand hotel room amazing incredible view marina bay sand evening light show something behold food incredible particularly breakfast would visit bircher muesli favourite wish ask recipe staff helpful kind man swim pool sorry remember name would like thank kindness love singapore love chat helpful make sure everything need excellant wonderful intriguing also discover learn history famous hotel visit singapore many time first stay fullerton hotel happy wait return another stay thank much
54,high tea,2022 - 08,5,serve mr lailikumar friendly happy serve enjoy high tea well high tea set well recommend thank complimentary gift birthday cake
55,cordial satisfying service,2022 - 08,5,receive warm friendly staff fullerton hotel especially impressed service provide guest lounge partner serve crystal ryan marcel helpful courteous entire time crystal knowledgeable hotel surround area help find way mbs atmosphere beverage serve lounge wonderful food however slightly bland alright partner give chance would come back another stay
56,national day,2022 - 08,4,stay fullerton suite national day preview suite huge gorgeous take opportunity thank outstanding team member joshua liu lisa kate reception help make check seemless possible staff strait club also prompt provide exceptional service also take note preference well thank nicholas siti lucy jar housekeeping also prompt respond request kar wei mike simon professional assist good way possible thank fullerton great memory form
57,stay firework,2022 - 07,5,great stay fullerton excellent view firework good location fit itinerary would like thank jared marcel lucy crystal hospitality strait club friendly welcome good time food drink selection throughout session day try variety item across day great service overall good time
58,comfortable well locate business renovate room,2022 - 07,4,super location middle cbd travel business room stay renovate lovely without window service generally good pool nice breakfast fullsome housekeeping little patchy repeat reminder get earl grey tea act room dining stop 10 even get hot chocolate time small niggle
59,super clean,2022 - 07,5,wonderful small boutique hotel center palau amongst restaurant bar right front harbor nail important factor super clean great bed good breakfast stay wellness suite elegant technogym accessory bar great cocktail back sure next year
60,compliment mr shazwan senior front desk manager,2022 - 08,5,dear fullerton hotel would like express thank appreciation service care receive hotel 10th 13th august 2022 3 night family day attend utmost warmth impressed see prompt room service despite peak season senior front desk manager shazwan nothing short phenomenal warm friendly professional genuine smile face move presidential suite express true interest want happy would like express sincere thank shazwan make 40th memorable one go extreme mile ensure party successful one shazwan continue shine fullerton walking ambassador truly gem hope deservingly compliment see october good wish lynn zeng family room 225
61,fantastic stay,2022 - 08,5,happy hotel stay second time stay anniversary staff attentive provide great level service definitely return thank making stay memorable
62,helpful staff great attitude,2022 - 08,5,staff name chandra quick foot upon see bulky baggage hurry help lessen load assist book taxi ask leave floor insist carry baggage
63,love hotel,2022 - 08,5,everything hotel experience 7 star assistance warren reception wait staff restaurant could improve anything lot unique little touch add experience
64,fantastic hotel staff go beyond,2022 - 05,5,rebooke multiple time due covid finally chance stay fullerton exceed expectation every way hotel beautiful historic location near marina bay beat service wonderful shy son really appreciate staff make effort connect make feel comfortable daily free ice cream
65,brief extremely memorable staycation,2022 - 08,5,wife experience first staycation fullerton hotel recently entire fullerton team make stay memorable one deep appreciation team strait club nichola siti jar ryan make feel home encourage sample excellent spread serve club ironically short distance away office tranquility room allow disconnect hectic work life enjoy different perspective raffle place area special thank go nicholas robby make day sit proudly study home
66,beautiful hotel great location,2022 - 07,3,sister spend 7 night singapore beautiful hotel staff lovely professional reception desk staff clean everyone lovely hotel gorgeous old former post office building centrally locate wonderful sight singapore however trip tarnish great degree email fight endure fullerton hotels finance team staff security deposit pay room refund bank account 4 week since check hotel deposit refund bad still send 5 email back forth hotel try find money go avail still wait money return bank account hotel tell prove letter bank money return account instead hotel get bank prove account name detail say refunded money already patient never publicly complain hotel past feel shame hotel return money promptly
67,amazing service amazing place,2022 - 08,5,spend night fullerton hotel national day celebrate occasion partner absolutely impressed prearrival till departure staff extremely thoughtful alert friendly impeccable service render first inquiry make hotel room clean view amazing promise partner back room exceptionally cosy could immediately feel like home first step take enter room overall satisfied cleanliness room importantly service crew attend amazing make celebration memorable one
68,martyn phillip,2022 - 08,4,good place stay lovely surround great helpful staff particularly strait club jar great employee helpful close great eating place attraction easy walk subway hotel clean tidy mask wear rhroughout except eat drink stay request room view high walled enclose balcony view except high rise air
69,wedding banquet,2022 - 08,5,hi fullerton hotel team would like compliment excellent service render miss zahera mr ragu hold wedding dinner banquet fullerton hotel 6th aug 2022 special thank zahera take time listen request pre event make sure expectation meet mean really show excellent service ensure expectation meet even small detail timely response update greatly appreciate forget amazing mr ragu awesome ensure event go smoothly pleasant willingly customize last minute request without bat eye reassure speak miss zahera mr ragu demonstrate excellent patience tactfulness make wedding event memorable thank much make event success food ambience service well expectation great time hotel shout miss zahera mr ragu many wedding many hotel fullerton hotel succeed lift benchmark show care service excellence high impossible level beat thank sye
70,stay cation fullerton hotel,2022 - 08,5,would like thank lucy strait club privilege kind think give special gift grand son also would like say thank ryan ng friendly kind afternoon tea strait club lounge
71,staycation fullerton,2022 - 08,5,teen daughter book one night girl staycation chill upon arrival greet personally express checkin show room stunning view singapore river even well night reception staff lucy proceed book afternoon tea courtyard offer delicious decide stay binge watch movie inroom dining also serve promptly pasta excellently next morning head buffet breakfast offer huge variety local continental food wish big appetite lovely experience personal touch wonderful team staff lead mr gino tan cheerful professional make difference good experience exceptional one
72,great hotel wonderful staff,2022 - 08,5,great hospitality service fullerton hotel staff give memorable stay hotel start guest relation desk arrive warm welcome kate joe helpful friendly even bring strait club afternoon tea ms sungeetha hotel guest relation officer thoughtful care take care meal strait club really touch appreciate food good mix fusion nostalgic local snack thus make din enjoyable wonderful experience staff strait club jar nicholas wong pleasant proactive recommend several good drink good tea try also laksa russian special would definitely come back first time warm reception great service really leave good impression thank staff make time hotel memorable one hotel location provide scenic view night colourful night lighting night beautiful place take night photo
73,truly good service befit truly unforgettable stay,2022 - 08,5,memorable stay fullerton hotel first time stay fullerton great hospitality blow away special mention front office manager darshan thoughtful need stay kind bring around warm welcome hospitality make feel right home darshan also bring strait club taste lovely selection delectable available strait club staff strait club jar crystal siti nicholas especially warm pleasant jared crystal recommend good tea check throughout warm reception receive really leave impression thank make stay awesome everyone hotel make feel welcome lovely way celebrate husband birthday stay marina bay view room view room gorgeous fantastic location beauty fullerton historical building truly unforgettable
74,go fullerton hotel singapore,2022 - 08,5,go short stay meet one waiter name ryan quite nice friendly guy quite charming guy like serve fullerton hotel go twice love hotel service front desk housekeeping polite amazing service say keep fullerton well
75,excellent stay,2022 - 07,5,stay 6 night fullerton part business trip staff welcome friendly throughout aid covid test room meet hk requirement ie doctor come room rather head raffle medical queuing arrival room realise courtyard room natural direct light ask alternate direct light move outward face room reasonable amount extra ease facility ie gym great swimming pool nice many bed order food frustrating relax weekend leave equally deal breaker drink serve breakfast experience probably bad part stay manic morning coffee machine often break period work slow would good see option coffeetea bring table also bread taste sweet option fresh cut bread would good also orange juice every morning available twice stay orange juice available everyday say materially impact experience stay look forward
76,amazing accommodation,2022 - 08,5,thank darshan lucy nicolas give pleasant surprise anniversary really touch appreciate staff friendly attentive amazing view buffet variety spread recommend occasion
77,fullerton full fun,2022 - 08,5,apprehensive staycation hotel 5 two adult 3 kid hard discreet large troop darshan front office manager duty team ever ready make feel right home ice cream plush toy colour book kid go dinner later evening kid famish swim tell staff duty prepare something menu daughter fussy eater surprise ask daughter enjoy meal thoroughly whole great getaway staff ever friendly play monumental part make stay fullerton epic one
78,great hotel wonderful experience heart city,2022 - 06,5,great food town restaurant sit outside river great view wonderful experience food delicious love variety dessert main focus p staff sincere great night
79,definitely one good singapore,2022 - 07,5,whole experience stay hotel fantastic hassle free check request late check eventual check hassle free fast food breakfast good lot variety choose location probably good factor hotel since near everything
80,great hotel gym fitness instructor,2022 - 07,3,great hotel locate strategic location breakfast great room superb service associate lobby outstanding unfortunately compare hotel around singapore quite disappointed hotel fitness instructor like mbs pan pac
81,wonderful experience fullerton hotel restaurant,2022 - 07,5,go last thursday buffet food superb lot choice staff friendly accommodate especially princess always check need everything okay overall recommend family friend
82,hotel miss visit singapore,2022 - 07,5,pleasant stay last week room spacious great boat quay view beautiful historical building nicely decorate room taste room get everything need dolce gusto coffee machine enjoy outdoor view balcony cup coffee stay fullerton good memory doubt hardware important feel service obtain every staff sweet smile face get home feeling thank fullerton staff small thank warren reception ryan crystal strait room give laugh visit
83,club fabulous,2022 - 07,5,4th visit fullerton make special club excellent one remember last visit special welcome receive still remember guy welcome smile take room completely different experience mask smile intro room think make mistake come backthat visit club welcome smile even though still behind mask would like thank whole team especially ryan dear crystal lye make welcome occasion crystal lady remember like guy check last visit thank crystal
84,attentive warm service fullerton hotel jade straits club,2022 - 07,5,sister lovely staycation fullerton hotel hospitality team strait club nichola wong crystal marcel team kind attentive thoughtful go way make feel welcome nichola even take initiative make nice cocktail dinner jade alan ip good food drink recommendation nice chat back jade fullerton charming place great hospitality many thank lovely experience
85,fabulous stay fullerton champagne edition,2022 - 07,5,access straight clan afternoon tea cocktail hour champagne breakfast everything perfect service beyond even small child tow crystal joshua particularly amazing special shout
86,top notch stay fullerton,2022 - 07,5,fullerton hotel singapore beautiful amazing hotel first trip singapore time leave feel like leave homethe hotel staff welcome attentive accommodate building room amenity top notch clean luxurious food especially consider one person party dietary restriction delicious especially afternoon tea impressed daily breakfast buffet one afternoon tea complimentary 6 night stay location perfectwithin walking distance many amazing sight bus stop right outside hotel mrt station close recommend fullerton hotel singapore enough
87,great choice tweak need,2022 - 07,4,fullerton hotel terrific choice elegant property great service amazing location downtown singapore right canal tweak hotel need make follow food need move notch term sophistication buffet breakfast expensive 45 per person also la carte option salmon burger yike piece nova lettuce tomato singapore hot weather outdoor pool warm need pump cold water
88,lovely hotel,2022 - 07,5,wow hotel amazing believe fung shui tell everything accord hotel set staircase alone massive beautiful different type koi swim beautiful pond staircase washroom elegant worth visit hotel singapore
89,great back,2022 - 07,5,first trip singapore since border reopen else would want stay fullerton nice see familiar face new one siti paolo strait club excellent look yes change would expect three year pandemic well quay room great view overlook singapore river tell breakfast buffet recently reintroduce work well physical menu anymore scan qr code get menu choice fullerton well place mrt go anywhere fancy take go back fullerton definitely
90,bless birthday 2022 town fullerton,2022 - 07,5,3 year ago simple wedding breakfast short rom place tonight celebrate birthday staff welcome warm service top notch kind helpful staff would like mention heidi lady help night feel patience care whole time chef kind attend additional request shout pinoy staff hospitality overall lovely night kudo team definitely recommend place create memory
91,strait club fullerton exceptional,2022 - 07,5,extraordinary service tranquility strait club make two recent stay exceptional travel experience sanctuary strait club create warm attentive professional service nicholas siti crystal lucy check seamless pleasant early breakfast suburb omelette afternoon lazy class champagne feature stay concierge service arrange seek dinner car reservation commend high recommendation
92,kid dream hotel room service location facility well,2022 - 06,5,staycation fullerton hotel wonderful experience room spacious clean love design style classic room also beautiful view marina bay small balcony outside chill drink outside night pretty nice location hotel convenient could walk merlion via underpass walk along shore beautiful nice walk small flower garden along bay go swim pool afternoon many people pool big enough kid enjoy fun also infinity pool face river quite nice quiet enjoy relax poolside try signature cake lobby afternoon tea delicious overall experience wonderful kid really enjoy first staycation daughter would call second home thank welcome staff give wonderful memory
93,well good food room service people location,2022 - 07,5,first time singapore fullerton keystone make trip memorable life define 5 star experience feel like moment walk dawn first day staff make feel like special vip guest rey restaurant especially attentive hotel spectacular moment enter room overlook river view city balcony 7th floor highly recommend sit outdoors breakfast enjoy mimosa cool breeze heat get intense walk everywhere fullerton close 18 minute walk marina bay sands garden marina bay china town location ideal fullerton rich history original post office singapore opulence hotel renowned one chance life come singapore fullerton one choice make singapore fairly expensive city fullerton worth every cent send family friend future hope return
94,second home,2022 - 07,5,decide book hotel due proximity near office raffle disappoint point arrival staff 7 day faultless also enjoy service strait club find staff front office friendly help orient myseld feel home hotel strong heritage history visit heritage trail take free tour concierge also able give great suggestion recommendation dine cocktail would great management could arrange corporate shuttle service key office area within business district lastly please convey appreciation wonderful staff housekeep front desk many othe meet stay assure return stay 2nd home
95,paradise city,2022 - 07,5,fast check staff beautiful room comfortable fantastic view marina bay area bathroom beautifully appoint spacious housekeeper wonderful job turning bed evenings rest sun set sun rise spectacular give marina bay area reflection light bay make wonderful sight staff strait club friendly warm making homely casual talk offer advice stay like art work display around hotel blend local modern piece provide interesting outlook room heritage piece give interesting history building heritage lobby well decorate give guest information heritage build good bar enjoy jade restaurant see chinese cuisine good food hotel good location convenient walk around sightsee great hotel conveniently locate comfortable room facility give guest luxurious feeling back thank restful stay learnt history hotel well area complement warm helpful staff make feel like home
96,outstanding service professionalism,2022 - 07,5,family start stay hotel since 2015 every time come singapore recently 11 july 2022 service excellent staff nice polite professional especially full respect guest room super clean always look new entire property always smell nice fresh quick fulfil request every time call room service always see smile face would rate 6 star could another star available click late flight day quite generous allow check late without charge love definitely without doubt come back strongly recommend everyone try hotel next time singapore I absolutely sure come back
97,bday staycation,2022 - 07,5,celebrate bday since first time say beyond expectation room spacious classy nice view bay amazing experience town restaurant special mention lovely staff ms cherry hope sir edgar rest team hospitable sweet smile despite business check time time give extra mile service make sure great night make birthday memorable 10 star thank much definitely good quality service priceless sure comeback
98,great short staycation,2022 - 07,5,last minute booking long weekend sg view national day preview firework room 4 year old son book strait club marina bay view room one option leave tripcom actually look marina bay view balcony unfortunately room sell nevertheless awesome staycation get access strait club champagne breakfast afternoon tea evening canap love especially son check smooth quick son get free pass scoop ice cream town restaurant set crayon fullerton colouring book front desk get name say room assign full view firework good preview great view firework get watch helicopter flying pass infront room etc etc hope back marina bay view balcony
