TITLE,DATE,RATING,REVIEW
Memorable weekend for family,Date of stay: October 2022,50,"I had a wonderful experience at The Fullerton Hotel. Amazing location and my room is facing Marina Bay with a balcony. The rooms were clean, very comfortable, and the staff was very helpful. I highly recommend this hotel for anyone visiting downtown."
Incredible F1 Weekend,Date of stay: October 2022,50,"We had a wonderful stay for F1 Weekend Newly renovated room with balcony overlooking Turn 13 and the whole of Marina Bay. Attentive staff, and excellent food. The pool deck has great views over Singapore river and downtown. Huge thanks to Terry and team for giving us an amazing weekend of memories."
Super Hotel with a few niggles,Date of stay: September 2022,50,"On early arrival on a very damp September morning with high expectations we were slightly deflated not to get an immediate early check in but this was tempered by the coffee and cake provided by a very kind staff member. We were allocated our room at 10.30 and had to pay a £660 pre authorisation that I felt was a little unreasonable . However that was the downside as the remainder of our stay was memorable. Our room was luxurious and had super views of the Quay and every item one wished for was to hand. The concierge even provided umbrellas. The breakfast buffet was excellent and the whole team worked extremely hard. This is an outstanding hotel and there were niggles such as being told there were no tables available in Jade but to return a couple of hours later (looking much smarter) and were immediately shown to our table. The dinner at Jade, though expensive, was superb and we enjoyed every mouthful. Niggles aside the comfort and quality were superb"
Nice but forgettable,Date of stay: September 2022,30,"It was a pleasant stay with our kids but nothing very memorable. The kids love the bed and bath tub, the tv channels and the breakfast spread like any other hotels. There isn't much activities for kids but this isn't a family friendly hotel to begin with. But our request for a small cake to celebrate their belated birthday wasn't attended to, even after asking about it twice. We learnt from friends that kids usually receive a mini Fullerton Bear during check-in and requested for 1 during check out but was turned down by being ignored by the concierge. It would have been a nice stay for couples but not for family. Probably won't come again."
Beautiful hotel in a great location.,Date of stay: August 2022,40,"This was our second stay at the Fullerton Hotel. We love the old world charm of the hotel as well as the location being close to the river with lots of restaurants and raffles MRT station. All of the staff are extremely friendly and helpful making you feel right at home. A special mention must go to Sall around the pool. He always greets you with a smile and ice cold water and loves to have a chat with the guests. He is a real credit to the hotel. We stayed in a heritage room overlooking the marina. It was kept clean with plenty of towels. Maybe they could replenish the soaps etc a bit more regularly. We ate breakfast in the Town restaurant every morning and although the variety was fantastic the western style food was always cold, except for the freshly made eggs! It didn’t matter if you were there at the start of service or a couple of hours in. This is a major issue that needs to be rectified. We also ate at the seafood buffet one night and it was the same. Quite disappointing for the price you have to pay. The pool area is spectacular and a great way to spend a few hours after sightseeing. Can’t wait to return on our next visit to Singapore!"
Great 3 nights stay - Straits Club,Date of stay: September 2022,50,"Had an excellent stay in at the Fullerton for 3 nights in September, we enjoyed Straits club breakfast afternoon tea and evening cocktails and canapés! Crystal and Ryan were wonderful and very attentive throughout our stay - we can’t wait to come back with family at Easter time next year!"
Location and rooms are superior,Date of stay: September 2022,40,"We stayed twice in week in two seperate bookings. Our rooms where renovated and had views out over the bay. Room service was amazing and suited our palates after both flights where delayed.  Our third night was a disaster, due to the airline cancelling our flight. The issue being we had to take the last room that seemed to be available, it was hot and unrenovated on level 4. Sadly the hotel was fully booked due to the Grand Prix lead up. The room was oversized and a window which if you stood on a chair it has a view. We just couldn’t resist to take a photo as my husband is ‘6.4’.  Overall we liked our stay but the last night stay was substandard for the price tag.  The stand out team member was Chandra at the door who helped with our room swap and front door."
Staff,Date of stay: September 2022,50,Chandra was very nice and his services were great. Excellent at his job. He offered to call taxis every time be saw us in the lobby and all the other staff had great recommendations as well. Cleaning services are excellent no need to worry.
Fantastic Hotel!!,Date of stay: September 2022,50,"Amazing hotel with amazing service! Checkin was flawless and the room was well appointed. No refreshing needed in the room as everything was neat, clean, and not showing any signs of wear and tear. Mini bar and snacks were great.  For breakfast, the cafe in the lobby was good. No complaints whatsoever ever. If you are looking for old world charm with newer amenities, this is the place to stay.  For guests, two things to consider, there isn’t a hotel “gift” shop so if you need meds, drinks, snacks, there is a 24 Hr 7-11 less than 10min walk. Also, I did have a terrible experience at the Spa, but not holding that against the hotel given it is separate. Be very careful when booking any service with the spa. Never again!"
Luxury overlooking the bay,Date of stay: September 2022,50,"We loved the service and room at this hotel which is conveniently located to the train. We had a small balcony that overlooked the bay. The room was quiet, well appointed, and very comfortable. The pool was small so we skipped using it. The Town restaurant had a good breakfast buffet."
Daughter's 22nd Birthday,Date of stay: September 2022,40,"My family staycation at the Palladian Suite is satisfactory. The staff are commendable and Strait Club privileges are excellent! We dined well at Town Restaurant & Courtyard ; Mr Kumar Duty Mgr at the latter went out of his way to wrap up our staycation with distinction by accommodating to our needs. The SPA was excellent too. An improvement to make is to ensure room amenities prepared for the number of registered adults upon check in. I wasted time requesting for the third of everything (slipper, bath robe & towel, tooth brush etc) for my family of 3 despite the same request made at reservation. I am open to visiting The Fullerton again!"
"Nice historic hotel. walking distance to tourist, business district and food area, expect nonhalal kitchen but can request halal",Date of stay: September 2022,50,"A well maintained historic hotel in the heart of Singapore.  We stayed here as a family of 4, driven all the way from Kuala Lumpur, the concierge were helpful and frontdesk made me felt that checkin is so effortless. When you arrived at the main entrance, a nice ambiance of serenity and friendliness greeted you. Among the few hotels I've stayed before with nice scent in the air.  The breakfast was scrumptious, although the kitchen was not Halal certified. We opted mostly on vegetarian and seafoods, which still have a good range of selection. Kids were thrilled to be given colouring kits and free scoop of ice cream. Price wise a bit pricey, but then again I think it was the standard price for its class.  The pool on the other hand was a bit small or nothing too fancy for kids to really want to dive in.  Rooms were well maintained, although the lifts are located on either end of the building. So if your room is right smack in the middle, expect a little bit more of a walk as compared to those near the lifts.  Location wise is the best, near to food outlets, historic locations, business district and tourist attractions."
"From Sabah, Malaysia",Date of stay: September 2022,50,"Superb facilities, comfortable room and strategic location. Concierge service specially Chandra was awesome from guide to check in counters, introduced all the function in the room to carrying the luggages and bags with smile and care plus looking out for the cab while I sit back and rest. Well done"
What a luxurious hotel!,Date of stay: August 2022,50,"What a luxurious hotel with historic features and classical beauty. This hotel will be the first and last classic moody hotel in this bustling city center. Esay to meet view of famous marinabay hotel at any angle within 5 min walk distance. The afternoon tea set was oppulent and accompanied by relaxing music .Great location, a walk away from trendy hotspots."
Top notch property,Date of stay: August 2022,50,This is a truly high end property. I would recommend this place over MB Sands any day. Feels exclusive and does not have the swarms of tourists that you find across the bay. Very pleased with the room size and staff service.
Amazing Hotel!,Date of stay: September 2022,50,"First time ever visiting Fullerton Hotel Singapore last week. was in awe, very beautiful and super clean rooms, very friendly staff, the breakfast buffet was out of this world! They even had a piece of birthday cake for me at my arrival of in my room..so thoughtful! I hope on my next visit to Singapore, i can stay there again, very recommendable!"
Great location and decor. Terrible service.,Date of stay: September 2022,30,"Came to The Fullerton Hotel Singapore for a business conference. The location is convenient and decor is immaculate. Would love visit this location again.  However, the service staff can be quite unhelpful, preferring to tell you ""I don't know"" instead of giving some assistance - I was trying to find a charging port for work and one of their wall ports was not working. I tried look around the lobby and instead of directing my to any functioning ports, preferred to tell me that I am not allow to sit at this or that location. Not sure if this is the kind of service I would like to bring my clients to. I think Pan Pacific would have been a better choice."
"If you want the best hotel in Singapore, this is it",Date of stay: September 2022,50,"We have stayed at The Fullerton a number of times previously. Never disappointed. It is truly a fabulous hotel in every aspect. This time we stayed 9 days. Our room was very clean and comfortable with great views out over Marina Bay. The bathroom was spotless, had lots of space and amenities. Our room was on the same floor as the Straits Club, so access was easy.  Nicholas, Siti and the Team at the Straits Club were as usual proactive, attentive and extremely helpful. Food and drinks were high quality and very tempting. Ryan, Chia Yi, Crystal and Zep provided exceptional service. They made our stay most enjoyable.  We took the Fullerton Heritage Tour this time. Bill the tour guide was very knowledgeable. The tour brought back wonderful memories for us, as we used to post letters here at the GPO when we lived in Singapore many years ago. The building has been tastefully renovated while still keeping many of the original GPO features.  The hotel is situated in a great location. An easy walk to the MRT, buses also at the front of the hotel and the river walks are pleasant.  Looking forward to visiting again early next year."
Wonderful staycation!,Date of stay: September 2022,50,"The holistic service provided by Fullerton hotel was nothing short of perfect. From the restaurant (Courtyard) to the in-room dining service, you could tell that their staff were trained very well as it’s reflected in the impeccable service provided to me during my short stay there.  Special mention to Lalikumar (pardon if the spelling is off) from the Courtyard. His attention to detail was highly commendable. Knowing that my family and I have certain dietary restriction, he went beyond his duty to cater to us by substituting the item in our high tea set.  All and all, thank you for the awesome stay and I look forward to another superb staycation at the Fullerton hotel, hopefully in the near future ☺️."
The best honeymoon start,Date of stay: September 2022,50,"What a stunning hotel! The staff couldn’t have done more to help us. Our room was beautiful and the bathroom was huge! Such a lovely touch being given a delicious cake to celebrate our honeymoon. The location is fantastic- walking distance to Fullerton bay and the embankment overlooking Marina Bay Sands. The breakfast was unbelievable- we had it once as it’s quite a hefty cost, but well worth it. If we return to Singapore (which we hope to do as we loved it), we will be sure to stay here."
Fullerton Hotel,Date of stay: September 2022,50,Lovely hi-tea set. Live entertainment with wonderful harp performance with movie and Disney soundtracks We were happy to be served by Mr Lalikumar. The hi-tea were exquisite and delicious with variety of tea and coffee choices.
Fullerton Hotel,Date of stay: September 2022,50,Lalikumar is of great service and friendly . Have a great day and enjoy ourselves here. Nice music and nice ambience. Good place to enjoy with friends and family. ........Thanks alot....................
Best for everything.,Date of stay: September 2022,50,"Stay in Quay Room at 7th floor. Beautifull view from balcony (but I have to climb the chair for the best view). We can see the two legendary bridges, Boat Quay, Asian Civilitation Museum, Parlement House, Raffles Statue, UOB tower etc. Beautifull view from swimming pool. And thank you for Sall (pool guard) , you are a good man, give me some information about everything.  The food, cakes are very delicious. The lunch buffet was so great. I love it. Thank you for give a slice cake for my husband (birthday slice cake). I love the herritage walk tour. Thank you for Linda, you are the good herritage tour guide.  Will be back again for sure."
Great location and grand hotel,Date of stay: September 2022,40,Stayed for 5 nights in a premier courtyard room. Room was refurbished. Bathroom was huge by Singapore hotel standards. I kept the curtains closed most of the time. I picked the Fullerton because I like hotels that have character. A lot of 5 star hotels in my opinion are soulless and the same. The location was fabulous for the things that interest me. Being so close to the Merlion and waterways was great. The train station is so close as well. The staff that stood out for me were the concierge and front door man. Sharing tips on quickest transportation routes etc. Breakfast was plentiful but I do wish it went to 11am instead of 10:30am. I like to sleep in on holidays. I was able to use facilities after check out such as showering which is extremely helpful when flights are late in the evening. The surrounding areas are pretty too at night. Boat Quay and Clarke Quay easy walks even in the humidity. I would stay again.
Fullerton Suite with family of four,Date of stay: September 2022,50,We booked a 1 night weekday staycation at the Fullerton for our family of four. The hotel is beautifully presented and the lobby staff are helpful and friendly. Check in was quick and easy. We received a upgraded suite on arrival (we were not told it was an upgrade at the desk but from the website pictures it looked like the Fullerton Suite). The suite had an very big balcony and a view onto the river and partially onto the bay/mbs. The main bed is very comfortable and my kids slept well on the sofa bed and additional roll out.  The service at the straits club was excellent and i particularly want to commend Crystal and Ryan for their attentiveness and level of service. Tip for the club level: check-in is at 3pm but first seating for afternoon tea is 1:30-3pm so if you wanted to arrive early you could relax with tea in the club while waiting for your room.  The pool is long and slightly rhonboid shaped and has a nice view onto the Singapore river. The water is warm so nice for kids. Not sure if it gets crowded on weekends.  Nice touch of a free scoop of ice cream for kids. Overall a big thumbs up and would love to stay again!
Fantastic Hotel and Location.,Date of stay: July 2022,50,"What a fantastic stay at The Fullerton,from arriving everyone made your welcome seem like you were of importance.location is superb,MRT for all places of interest and Boat Quay for food and drinks.Breakfast was superb and a great choice of food and service,room nice and airy,the toilet was very futuristic with all the gadgets.Would definitely recommend,and will always stay her when in Singapore."
Fabulous stay with family,Date of stay: September 2022,50,"My first stay at The Fullerton Hotel and I’m deeply impressed by the service, cleanliness and everything! Checkin was seamless and quick, and receptionist is considerate to ask me if my child is allowed ice cream before offering my 4 years old a name tag with lanyard (entitles her for 2 rounds of ice cream), crayons and activity book. My girl broke her crayons and was upset, and the receptionist happily offered her a new set together with the activity book much to her delight. When I called for a ‘flat’ pillow for my child, we were given a child pillow instead (which is exactly what we wished for), and we didn’t have to wait long for them to come over too. And impressively, we were greeted when we called for service. Wifi was speedy, although we don’t really need it. The infinity pool is beautiful, overlooking the waters. We requested for an extra bed, and it was all done up when we arrived in the room too. We were celebrating a birthday and we got a slice of chocolate cake (extra rich and yummy) delivered to the room. Oh… the breakfast buffet spread was fantastic, everything was so freshly prepared and beautifully set. Waitress was so quick to clear our used utensils and cutlery too. Check out was the fastest, by just returning the room keys. A wonderful heritage hotel that pays attention to every single details, that you’ll definitely feel so welcome, for locals and visitors!"
Singapore Holiday,Date of stay: August 2022,50,"Another stay at The Fullerton Singapore, our 4th visit. It is always sad to leave the Fullerton because you feel so pampered during your stay. The staff are exceptional, friendly and never fail to go the extra mile to ensure that guests feel totally spoilt. The Fullerton is a classic colonial experience, centrally located and the perfect base to explore Singapore. My wife & I love escaping Australia’s cold winter and spending a week or so at the beautiful & friendly Fullerton Hotel in Singapore. We can’t wait to return :)"
"Heritage building, great location",Date of stay: August 2022,40,"Visited Singapore first time in August 22 post pandemic and stayed at this beautiful heritage hotel at the central location near financial district, While the external facade maintains its heritage character, it is quite modern internally. Had a smooth check in and check out experience, the rooms are large specious and have all the modern amenities The breakfast spread is excellent, the overall service levels are very good. The location of the hotel is excellent overlooking the Singapore river, with walking distance to financial district and Boat quay. The hotel is expensive and despite paying $ 400 we were given rooms on the internal side, overall if you like heritage building at central location it is great option in Singapore."
Fullerton Singapore,Date of stay: September 2022,50,"We have been to Singapore many times and really love the place. This time we treated ourselves to the Fullerton as on our other visits we would always come here for coffee. Our room was beautiful and comfortable and housekeeping were very good. We would like to give special thanks to Crystal, Ryan, Siti, Zep, Chiayi and Nicholas for their wonderful service in the Straits Cluba d of course the chef for the great food. The atmosphere there was very relaxing and friendly. Would definitely recommend a stay at this beautiful Hotel."
Excellence service!,Date of stay: August 2022,50,"This is my first time staying in Fullerton Hotel. The services are excellence. The team at the lounge is so professional and caring :)  Esp Nicholas - who remembered my meeting schedules and arranged for my breakfasts swiftly just to ensure that I have enough time for my meal and preparation for the meeting and also Crystal who gave me a memorable service - she gave me a scarf so that I won’t get cold, she remembered my favorite tea and always got me the perfect table (where the plugs are available) :))  Lastly, Juliet, the house keeping team, also saved my day by locating my missing Airpod case in the room. I literally didn’t expect that the hotel will find it (as I looked for it everywhere in the room (including the trash) lol).  I really enjoyed and had a pleasant stay here."
21 year reunion! 5 star all the way ✨️,Date of stay: August 2022,50,"Having spent many months working in Singapore and staying at the Fullerton, I can honestly say it's improved on greatness. We had a gorgeous view, stunning breakfast and Christine and her staff were impeccable. We even got to shower and rest before our 1am flight after checking out. While it's a lot to spend, you're worth it."
"Great view, great location but not so clean",Date of stay: January 2022,30,"Great view & convenient location. Not recommended for families. We went for a staycation as a family.  Average Service by front desk - great service by checking out staff, not so pleasant experience with checking in staff.  Great service provided by staff at the restaurant where we had our breakfast. They were very welcoming and serving staff were very attentive and friendly  Plumbing issues - The bathtub was not able to drained out the water. We called the helpdesk and the plumber came to fix it. Took about 45-60mins.  Spider webs on fixtures.  Cleaniness of the room - Given the rather positive reputation of the hotel, we expected a little more but was quite disappointed. We requested for a baby cot but it was not so clean, we decided not to use it in the end. It was torn and stained with what seems to be saliva marks on the cot. We don't expect a brand new one but at least one that customers would feel comfortable to put their kids in.  Air-conditioning - The air conditioning didn't seem to work very well. We switched to a low temperature but it was still rather warm. We tried adjusting it a few times but to no avail.  Overall, not so pleasant stay in the room. Only saving grace were the staff at the restaurant where we had our breakfast."
Luxurious stay!,Date of stay: August 2022,50,"Hotel room was excellent, with stunning views of Marina Bay. We also had the Joyous menu at Jade Restaurant and the high tea at Courtyard Cafe, both of which were sumptuous. The service was great too. When we were having high tea, there was also a harpist playing, which added to the nice ambience."
Complement,Date of stay: August 2022,50,"I will like to thank all the staff especilly samirah for excellent service and giving extra confortable bed, even though i only stayed for 1 night. Thanks for a good view room it was big and nice. I wil stay again if i can afford it. Thank you so much😃"
Rare gem in the hotel!,Date of stay: August 2022,50,"This is my second time staying in the hotel. I been greeted by Kate at the front desk with a smile. Even though my last stay was Jan last year, she recongise us and remember about our last visit. It feels like coming to a home. She ensure that the room has the best view and clean before handing the keys to us. The room was flawless with an amazing view. Her services is top notch perfect! Even during check out, i was served by another staff, she came to us and ask if everything is ok. She is definitely a gem of a hotel!"
Staycation,Date of stay: August 2022,50,"Abigail, Bali Kumar and Ariel are very professional and friendly, they show passion at their work. We feel so welcoming and the experience in here is very pleasant and warm. Definitely will come again. Thank you!"
Holiday,Date of stay: August 2022,50,"We have stayed at The Fullerton Hotel Singapore before and as much as we have enjoyed our stay before, this time was even better. The Hotel is historic and beautiful, the staff are amazing and friendly and the service is unequalled from our experience around the world. Special thanks to Chai yi, Nicholas, Ryan, Siti, Crystal and Zep at the Straits Club who went above and beyond to make our stay incredible. We now regard these people as our friends. Sall at the pool is always fantastic and all of professional and friendly staff at The Fullerton Hotel. We will definitely be back soon!! Mark Wright"
First class accommodations,Date of stay: August 2022,50,"From Antonio Renolayan, I had a wonderful experienced at Fullerton Hotel. I’ve stayed at several hotels in Singapore but this was on the top of the list of best stay experiences ever. They have a high quality room and high quality of service. The customer service was superb. Every staff member I encountered from reservation Mr. Valent , Director of Sales was so prompt to respond to my inquiry, the Valet, cleaning staff to the check in more importantly to Darshawn and Katie Joe who were delightful and eager to help. They went over and beyond to make my stay comfortable and enjoyable. Darshawn ensure I’m satisfied with my room and well being while I’m an in house guest. Please give him a staff award for exceptional customer service. In addition, Cristina at the daily breakfast provided as well an exceptional service. She was very hospitable and there for every need of mine. BZ to Cristina. Thank you! Property has a fantastic old time charm. I highly recommend for anyone visiting Singapore."
National Day Weekend Celebration at the Fullerton Hotel,Date of stay: July 2022,50,"We stayed here for a short vacation during Singapore's National Day. The Fullerton team had decked up the entire hotel in conjunction with the 57th Anniversary. We were delighted with old school local snacks and handed out flags and welcome with such a joyous occasion on the morning of the event. We received National day themed chocolates on the night before NDP. Overall, service was top notch. We would like to say thank you to the front office team who were very helpful all the way from the doorman, concierge and at the front desk. We hope to return next year to soak in the atmosphere."
"If you want to be spoiled rotten, then stay at The Fullerton Hotel Singapore!",Date of stay: July 2022,50,"Warning...booking a staycation at The Fullerton to celebrate your anniversary might make your other half look bad! The team really went out of their way to make sure we were well taken care of right at the start when we checked in. From Shermaine at Front Desk, to Nicholas and his team at Straits Lounge, to even our entertaining guide who charmed my in-laws during The Heritage Tour we prebooked! It certainly won me brownie points with my in laws who I invited the next day to join us for lunch. Not to mention the sweet surprises we found in our room, including a thoughtful card by General Manager Gino Tan! With its picturesque backdrop, we took countless photos by the pool to capture our memorable stay. After which we headed down to feast on an elaborate Chinese meal at JADE where we admired the talented Chef's culinary works of art both in his cuisine AND his handmade pottery and dessert display. We did feel guilty leaving the kids at home so perhaps next time we will plan a family staycation and book the other heritage tours so that they can appreciate the historical beauty and its wonderful stories!  Thank you team! (My hubby thanks you too for making his job an easier one!)"
Impeccable Service,Date of stay: August 2022,50,"This is our third time staying as a staycation hotel. We have always highly recommend this hotel to friends and family. A little hiccup at the start of this latest stay, but the senior duty manager Shazwan had promptly solved the issue and had even went the extra mile to provide a great memorable stay!"
Good service provide,Date of stay: August 2022,50,"First time come visiting this new hotel’s buffet, enjoy a nice time spending with friends. Lewis provided a very good service, treat guests nice and friendly! The environment is good too, see you soon!"
The Fullerton Hotel Singapore,Date of stay: August 2022,40,We are delighted to thank Mr Joshua Chua & team members for excellent services for smooth and speedy checkin on 20 Aug 2022 and checking out on 21 Aug 2022 was a breeze. We have a very comfortable stay and will not hesitate to recommend this hotel to friends.  Ms Tan & Mr Sim.
Pure luxury,Date of stay: August 2022,50,"We love, love, love this beautiful and grand hotel! Our room was amazing with incredible views of Marina bay Sands and evening light show was something to behold! The food was incredible and particularly the breakfast !! I would visit again just to have the Bircher muesli which was my favourite and I wish I had asked for the recipe 😂. The staff were so helpful and kind and the man at the swimming pool( sorry cannot remember his name) but I would like to thank him for his kindness and love for Singapore! I loved chatting to him and he was so helpful making sure we had everything we needed, he was excellant! It was wonderful and I intriguing also discovering and learning about the history of this famous hotel We have visited Singapore many times but this was our first stay at the Fullerton hotel and we are so happy and can’t wait to return for another stay. Thank you all so much ."
High tea,Date of stay: August 2022,50,"We are serve by Mr. Lailikumar, he is very friendly and we are very happy to serve by him. We enjoy the high tea very well. The high tea set are well recommend. Thanks for the complimentary gift and birthday cake👏🏼"
Cordial and Satisfying Service,Date of stay: August 2022,50,"Have been received by warm and friendly staffs at The Fullerton Hotel and is especially impressed by the service provided at the guest lounges. My partner and I were served by Crystal, Ryan and Marcel who have all been helpful and courteous the entire time we were there. Crystal was very knowledgeable about the hotel and surrounding areas which helped us in finding our way to MBS. While the atmosphere and beverages served at the lounge were wonderful, the food, however, was slightly bland for me but was alright for my partner. Given the chance again, I would come back for another stay."
National Day 🍾,Date of stay: August 2022,40,"Stayed at the Fullerton Suite for National Day preview. The suite was huge and gorgeous. Taking this opportunity to thank the outstanding team members such as Joshua Liu, Lisa and Kate from reception who had helped to make check in and out as seemless as possible.  The staff from Straits Club were also very prompt and provided exceptional service. They also took note of our preferences very well. Thank you Nicholas, Siti, Lucy, Jared.  Housekeeping was also very prompt in responding to our requests. Kar Wei, Mike and Simon were very professional and assisted us in their best way possible.  Thank you Fullerton for the great memories formed."
Stayed for fireworks,Date of stay: July 2022,50,"Had a great stay here at the fullerton, and an excellent view of the fireworks Very good location if it fits your itinerary Would like to thank Jared Marcel Lucy and Crystal for their hospitality at the straits club. They were friendly and welcoming, had a good time with the food and drink selection throughout the sessions in the day We tried a variety of items across the days Great service overall and we had a good time"
"Comfortable, well located for business and renovated rooms.",Date of stay: July 2022,40,"Super location in the middle of CBD, if travelling for business. The room I stayed in had been renovated and was lovely (if without a window!). The service was generally good. The pool was very nice. The breakfast is fullsome.  Housekeeping was a little patchy with repeated reminders to get some earl grey tea not acted on. And in room dining stops at 10! They won’t even get you a hot chocolate after that time. But these are small niggles."
SUPER CLEAN,Date of stay: July 2022,50,"Wonderful small Boutique Hotel in the center of Palau , amongst Restaurants Bars right in front of the harbor. They nail the most important factor, Super Clean , great beds and good breakfast. We have stayed in the Wellness suite , very elegant with Technogym accessories  At the bar they have great cocktails  Will be back for sure next year"
Compliment For Mr. Shazwan (Senior Front Desk Manager),Date of stay: August 2022,50,"Dear Fullerton Hotel,  We would like to express our thanks and appreciation for the service and care we received at your hotel from 10th to 13th August 2022.  I was there for 3 nights with my family and for all these days I was attended with utmost warmth. I was impressed to see the prompt room service despite the peak season.  To senior front desk manager Shazwan, who has been nothing short of phenomenal. He is warm, friendly & professional. The genuine smile on his face when we moved into the presidential suite express his true interest in wanting us to be happy!  I would like to express my most sincere thanks once again to Shazwan for making my 40th such a memorable one. He went extreme miles to ensure the party was a successful one!  Shazwan, continue to shine and to be Fullerton walking ambassador. You are truly a gem and I hope you are deservingly complimented. See you again in October! :)  Best wishes, Lynn Zeng & Family Room 225"
Fantastic stay,Date of stay: August 2022,50,Very happy with our hotel stay. This is our second time to stay our anniversary ❤ All the staff were very attentive and provided very great level service. We will definitely return again! Thank you for making our stay so memorable.
Helpful staff with great attitude!,Date of stay: August 2022,50,"A staff named Chandra was quick on his feet, upon seeing me with bulky baggage, hurried to help lessen my load, and assist me to book a taxi.  Ask to leave on floor but he Insisted on carrying my baggage."
Love this hotel!,Date of stay: August 2022,50,"Everything about this hotel experience was 7 Stars, from the assistance by Warren at reception through to the wait staff in the restaurant- we could not have improved on anything - lots of unique little touches which added to the experience"
