TITLE,DATE,RATING,REVIEW
Not as expected,Date of stay: February 2020,20,"I’d like to be positive because the staff were friendly, the rooms clean and the towels super soft but........ The advertised restaurant in the evening was closed, the breakfast meagre and the pool a disaster. The photograph online didn’t look too bad but the noise from the air conditioning units on the roof was horrendous and it never seemed to stop. Not somewhere for a relaxing stay. Our room and bathroom were very small. We moved after the first night....."
Honestly terrible,Date of stay: January 2020,10,"When I was booking a room, I specifically booked a room with one big bed. In the check-in line, there were two people in front of me, and the front desk asked if they wanted a big bed or two small beds, and they said, “Ummmm... maybe a big bed is fine.” When it was my turn - and I was literally RIGHT BEHIND THEM - the front desk told me they were out of rooms with big beds, and we could only get a room with two single beds. When I showed her my booking, she said, “Sorry, the hotel is full. That is the only room we have left.” WHAT?! That is ridiculous!  When I questioned further, she said, “Check-in time is at 3pm, so all the rooms are gone. You should have come earlier.” The people in front of me LITERALLY got a room with a big bed, when they didn’t request it. Also, is it my fault that my flight landed at night?!  I am honestly baffled and appalled by this ridiculous service! Honestly if they had been kinder about it, and perhaps tried to find a solution (which, at the price I’m paying, I would DEFINITELY expect), I would not be this angry. However, the fact that she even turned it around and said it was my fault just made me even more mad!  The rooms are old and cramped as well, and there are hardly any amenities. It was in a pretty seedy location as well, which I didn’t expect.  Terrible customer service, and definitely terrible quality considering how expensive it is!"
Excellent tour desk at this Hotel,Date of stay: January 2020,50,"The hotel's accommodation is standard as you would expect of a 3 star rating. It's comfortable and have the essentials we needed. I do like their initiative to drive a more greener and sustainable offering with the filtered water system rather than bottled water and soap dispenser in the room. The bed was comfortable, not too soft or lumpy.  What I was most impress with was the Tour desk service available at this hotel. Susan Hoo and her team were AMAZING!!! We traveled in a family of 10 with young and elderly members and Susan was so helpful in providing advice and recommendations and put together an awesome 4 day itinerary for us that worked with our pace. We felt we were able to cover all the key attractions and was able to travel in comfort at an affordable price and excellent service. I would highly recommended the tour desk service at this hotel!"
Busy tucked away hotel,Date of stay: January 2020,40,Extremely busy hotel. Tucked away off Orchard Road. Staff very friendly and helpful. Room surprisingly comfortable. Would opt for room on higher floors 8 and above then you get a great view. Hotel breakfast was adequate and clean. Housekeeping good.
Nice,Date of stay: January 2020,50,"It was very nice 3 night's stay at Chancellor hote Singapore Good breakfast clean room, nice view from the Room,the swimming pool on top of the building. I will recommend for sure.the hotel was so busy when we're their but no problems."
Good for business or family trip,Date of stay: January 2020,40,"Great location and enaugh room space for business trip or family trip, kindly staff and fast respons if you have any problem. If you are a moeslem, no halal sertificate for restorant on this hotel. Worth it with your cost"
"Clean, Tidy and Beautiful Singapore",Date of stay: December 2019,40,"Myself and four other family members stayed five days (26th Dec to 30th Dec 2019) at Chancellor Hotel in Singapore. Dhoby Ghaut MRT station is about 10 min.walking distance from the hotel. Orchard road is very close with so many shopping malls to do your shopping. There are lot of eating places close to the hotel. Because of the excellent public transport system you can get to any place you like withing a very short time and in comfort. But be prepared to walk a lot, even withing the MRT stations. Take comfortable walking shoes. Singapore is generally hot and humid throughout the year. Taxis are also a plenty and not very expensive. Since my last visit to Singapore I found that cost of living has gone up. The hotel was very good with clean comfortable rooms, and with good a/c. We stayed on B/B basis, so I can comment only about the breakfast. Breakfast was not very great- with few options. Staff were very polite and helpful. There is a pool on the top floor.There is a money changer in the lobby area , but the rate is a little low. We enjoyed our stay at the hotel."
Heading home,Date of stay: December 2019,50,We had been at a wedding in Vietnam and decided to visit Singapore on our way home we stayed at this hotel it is in a really great spot for all your shopping the rooms are nice and clean and includes breakfast in the price it is cheaper priced hotel but the postion of the hotel is fantastic would definitely stay here again.
Not Impressed at All,Date of stay: December 2019,20,Woken by a phone call from reception at 7.45hrs after flight from the UK previous day. Reception staff denied. Stopped publicly from having breakfast by an intrusive female member of staff stating we have not included breakfast in our stay. Finally sorted after going back to room and fetching and showing our written confirmation documents. No apologies from the intrusive female but a very apologetic food and beverage manager. Disappointed.
Average,Date of stay: December 2019,30,We spent 2 nights here for a short trip to meet some people. Never stay here before ever. The room is quite small but clean. The staffs are very friendly. Everything in the rooms works nicely.  There are only 2 things they can upgrade. Number one is the bed. It is very hard bed. Like we are sleeping on a plank. Secondly the breakfast was below average. They must improve.
Worst service ever,Date of stay: December 2019,10,"Average room quality but worst service ever. You have to put the light on for room cleaning service. We did so but noone came. And even when we called front dest at 10pm, answered after 10 mins and said “you have to call tommorrow, so we will manage house keeping for you”. I didn’t pay 150$ to receive this service!!!"
Convenient Location,Date of stay: December 2019,30,"We stayed here for two nights in a triple deluxe room. The room was ok, big enough for three people. Bathroom amenities were provided. Roof top pool was nice.  Location was good, near MRT Somerset and within walking distance to Orchard Road.  Check in was quick and efficient, Mr Lee, the FOM, was attentive. Thank you!"
Nightmare !,Date of stay: November 2019,10,"Rude staff to begin with especially Jenny from the room reservation team . Next came on November 16 morning at 8am , the Housekeeping , her name was mentioned as Dean, she kept ringing the door bell and we were sleeping . She came again this time calling out hello hello and then used her card and opened the room door and both of us panicked. We were leaving our room about 12 plus to 1pm for our lunch ( as we didn’t book the room with breakfast as we know we will skip breakfast ) she was complaining saying that she has been waiting and had to finish cleaning the room and I asked her if that’s the case if we have to follow her schedule she said yes . I am truly amazed with the kind of attitude the hotel has and the way they are trained . As a local singaporean I couldn’t appreciate this attitude I wonder how the other tourist be treated . I strongly urge travellers with service expectation to avoid this hotel . Nightmare experience . Anyway thank you Mr Wilson for accommodating my early check in at 12pm ."
You pay for what you get,Date of stay: November 2019,30,Cheap stopover sold as part of the Singapore airlines package. So I paid little and was not disappointed. Location is central and convenient. Rooms are basic and tired. Reception not very friendly. I agreed a later checkout but then got continued calls to check out. Maybe a miscommunication.
Worst Hotel in Singapore,Date of stay: November 2019,10,"Absolutely ridiculous hotel. Stinky, poor behaviour of staff, ridiculous breakfast. Racist and absolutely a waste of everything. Front office manager John was the most ridiculous hotel employee I have ever met. Zero professionalism and no courtesy whatsoever. Never book this hotel. Absolutely a disgrace."
Location..,Date of stay: November 2019,30,"Checkin was a nightmare, poorly organized.  The rooms are basic, but clean with good bed and shower.  Basic breakfast but all you need.  The location of the hotel is prime, the hotel is really competative priced.  If you should stay here or not is up to budget. Price quality is okay"
Review,Date of stay: November 2019,10,"Pros: -Good location.  Cons: -please renovate your rooms.(carpet is old and smelly, the shower head is rusty) - the breakfast selection is just unacceptable.I guess the management already knows.Never book a room with breakfast please! Eat somewhere else or order Grabfood!! -a little motivation and hospitality of some of the Front Desk people will be appreciated. To remind you people, you are the heart of the hotel.Genuine smile and hospitality is a must!  Book somewhere else if you don’t wanna spoil your mood."
Terrible hospitality,Date of stay: November 2019,10,I stayed here for 1 night on 2nd november till 3rd 2019 for 2 rooms. Cons 1. Hotel do not provide utensils in room 2. Hotel do not provide toiletries 3. Hotel has tea maker but u can drink tea once in a trip u cannot ask for another else they will charge 4. In breakfast u cannot order omllette it is again chargeable and there is no food for indian as they have only chinese chef and they will not even help u with hot and cold milk as again it is chargeable Nobody will belive this is Internatinal hotel since hospitality is so terrible they just want extra money for even water Terrible experience Raghav bansal +91 9999974824 Room#523 and 660
No response,Date of stay: November 2019,10,"We are traveling with 2 young kids and are yet to check in, and have sent multiple mails for confirming baby cot availability etc. There is just no response from the hotel ! Dreading our stay already."
Only location is good..,Date of stay: October 2019,10,"Room smells old. Lousy breakfast. Bathroom too small. Amenities like the room slippers very thin like paper. Housekeeping not 24 hours. Deposit for incidentals must be in cash of SGD50. If credit card, after 14 days will be credit back. Not coming back in this hotel."
Terrible experience,Date of stay: October 2019,10,"I went to ITB ASIA tourism show and book a room at Hotel Chancellor@Orchard, no body help me take my luggage. The bathroom is terrible smell. Lobby is always noisy. I event can hear my next room talking. I ask for a double bed but they gave me a twin bed without explanation. When check out, I ask for a Concierge to help me bring my luggage, nobody take the phone. The housekeeper told me that it's not his job, and I only call number 1 for help. I try again and still nobody help. I can't believe that is a 4 star hotel"
Avoid this useless hotel,Date of stay: October 2019,10,"This is a hotel which should b avoided at all cost  Cons : Breakfast- if u can eat only bread butter in veg food and French fries daily...pathetic food in nonveg add eggs dat to not boiled properly.  Smelly lobby carpet- Bad smell  Bed not comfortable and small rooms  No toiletries in bathroom  Noisy swimming pool- AC ducts installed there which wil not allow u to sit for even 2minutes it's too noisy.  Rude receptionist  Pros - Free wifi  Overall poor experience, avoid at all cost...pathetic breakfast poor upkeep"
Outstanding service,Date of stay: October 2019,50,"Another wonderful Stay at chancellor orchard! During the time I checked in the the lobby was messy with lots of indian tourists and i unable to get into the lift as they push me to the back. Thank you to Mr warren that happen to be there, he bring me to the backdoor lift and accompany to my floor level. I felt very homely at that moment. He is Very Flexible and the stay really worth for the value for his service. I like to thank him walking an extra mile to make my stay convenient and enjoyable."
Never again,Date of stay: September 2019,10,"I was disappointed because it was an extreme budget hotel where breakfast looked like something from a horror movie. It was frightening, it felt like I had gone to the wrong place. Three star should be better especially is a modern country such as Singapore.  I would never go there again. It was booked for me and my lesson learnt is to check and read reviews. I made assumptions and suffered for it.  The hotel foyer has a little kiosk much like what you see at the train station. Shocking really"
Worst Hotel Experience,Date of stay: October 2019,10,"I just started my stay today and immediately I have so many complaints. The carpet looks like it hasnt been cleaned for a long while. The paint needs changes and the hotel smells old, even the lobby looks shady. Worst part is that the wifi is not working in my room since I was placed towards the end of the hallway. If you move closer to the lifts then wifi signal gets stronger. I asked customer service on what they can do, their reply was ""it is how wifi works, what can we do?"". So I went downstairs to talk to the front desk receptionists and complained, wanting to move to a room near the lifts so that I can get better reception since I need the connection for work and all they could say was: ""you can complain and request for transfer tomorrow morning when you talk to my colleague"". The room and how it looked was already a bit unbearable, the price kind of justifies the premium on price, but with this type of service I will never book this place again in the future. Not a big loss for them but hopefully would shed light to future travellers that are looking at this hotel. Trip advisor can only rate from 1 - 5 stars, true rating I have for this is 0 stars, no redeeming feature whatsoever please do not book if you are here for business trip or if you need good wifi or service."
Short holiday in Singapore,Date of stay: October 2019,40,This hotel is in a great locatoon. Somerset tube station and fantastic shopping areas 300 yards away. Close by is a selection of hawker stalls selling lovely food and of course Tiger Beer. Taxis are always available at the hotel foyer. The hotel itself has a large reception with friendly staff. Our room was immaculate and the maid cleaned it and changed bedding everyday. Nice rooftop pool with great views 360°. Would definitely come back.
Best hotel!,Date of stay: August 2019,50,"I love this hotel so much! Especially, their rooftop swimming pool! You can see the view of Orchard, the bustling shopping district! Also, near the hotel you can find the best eating place to have breakfast, lunch, dinner and you name it all. It's a 24hrs food joint! Everything is walking distance!"
Nice hotel in an Amazing location,Date of stay: September 2019,50,"i totally had a positive experience at this place, booked this hotel through an agent from India based on their recommendations. on arrival had to pay $50 SGD as a deposit money which was refunded totally on exit. very polite and enthusiastic staff.  located besides to the world famous road of Orchard, Singapore. very close proximity to many shopping centers, restaurants, clubs and eateries."
Disappointing,Date of stay: September 2019,20,"On arrival we were immediately disappointed. Entrance foyer was bustling with people and very noisy. Not very welcoming or inviting. We could hardly hear what receptionist said to us but check-in was quick. Room ok. We had breakfast package but wished we hadn't. We stayed four nights. The breakfast room (don't feel it deserves the title,dining room) was awful. Scruffy and overcrowded. Not enough serving spoons etc. and we witnessed one guest helping herself to chips with her hand. There was little or no supervision. Toaster toasted on one side of the bread only so queue very long. Often bread ran out, as did pastries. I ate only watermelon. Hot drinks were limited to black coffee or black tea with the option of adding powdered milk. We accept that this is a budget hotel but a decent breakfast away from the hotel can be purchased cheaply and we felt that this hotel should look to improve what it offers and improves the standards in both presentation, quality and hygiene and using the argument that it is a budget hotel is a poor excuse for what we experienced at breakfast. A hand sanitiser at the entrance would go a long way to improve the situation. Limited unattractive seating in the foyer which meant we had to stand for much of the time whilst waiting for our taxi pick-up. Although the location is good we will not be using this hotel again and cannot recommend it."
Underwhelming hotel,Date of stay: September 2019,20,"We stayed at the Chancellor Hotel on our return journey from Italy you australia to “break” the trip. The foyer is austere, noisy and not very welcoming. The service staff at front desk were ok - just. The room was modest with scintillating views over the commercial rooftops of other buildings. The “restaurant” was more like an austere University’s cafe - not terribly welcoming or comfortable. There is no bar, or lounge in which one can sit and the foyer has a couple of rows of chairs back to back where people wait. The swimming pool on the roof is quite attractive at about 20m long but no bar or cafe adjacent. If you are looking for a modest overnight stop then it’s probably ok but for anything more, I would look elsewhere."
Great location,Date of stay: September 2019,50,A short stay from 15-19 Sep for business trip. room is nice but should provide free water 2 bottle a day. Great location 5 mins walk distance to Orchard road shopping center and so many restaurant a long the road. Staff was nice and friendly. Fast check in and check out.  Overall is great. Highly recommended Will be back
"Boutique hotel in a nice and convenient location, BUT inhuman and degrading treatment of customers",Date of stay: September 2019,30,"Stayed in this Hotel in the second week of September. The rooms and the corridors need freshening up with new coat of paint and carpet change, or carpet shampooing. The worst experience was the overcrowded breakfast area, which lacked service staff, lack of supervision of the dining area.This resulted in empty food dishes, tables cluttered with dirty dishes, and birds from outside flying in to the dining area and picking food at the tables. At the same time there's an adjoining dining area where selected few were having breakfast."
One night stay,Date of stay: April 2019,30,"I stayed in this hotel with my friends. Didnt take the breakfast package and prefer to find breakfast around the hotel. The location is close to sommerset mrt. Service is fine, no bad experiences as other people mention. The room is enough if you weren’t staying with kids and planning to stay for a short time. The bathroom was ok although there were no soundproofing.. :))"
Not return the forgotten thing,Date of stay: August 2019,10,"We were at Chancellor hotel at night 21/08/2019 in room N329. I forgot a dress, that was hanging in the closet. I notified my tour guide about that and he contacted with the hotel. 2 week has passed I have not received any response from Chancellor hotel.I sent email about this problem, nobody responsed my email. I wrote question on Google web, no answer.How I should understand this attitude and the quality of hotel services. Maybe the manager put this form to display"
Group Reservation Turned Ugly Experience,Date of stay: September 2019,10,"I am currently staying in the Hotel Among my fellow 100 Indian Passengers. This hotel is the worst hotel I have seen, No amenities in Room like Tea coffee make, comb, shaving kit or dental kit. Breakfast is only Chinese oriented and when asked to arrange Two Indian Dishes they said they can't, not even for a group, Only Star it is getting because of Wonderful check in assistance given by Mr. Satish from Group Check in Help desk. If you are willing to take a chance to experience Horrible excuse on the name of Hotel Industry just come in. Specially they are treating Indians like they are slum dwellers. I mean a smile or courtesy face is good enough but instead we see stone cold faces.  Me and my tour leader was 2 person in one twin room, when we reached at Room in Evening we found only one bath towel, we requested to Operator for Secons Towel and to my surprise they said their house keeping is close and they can not provide the Towel. After lots of To and fro along with duty Manager They said they will provide one Towel but We have to come down to front desk to collect it.  Oh My God what kind of Business they are running ???  They are Ruining the name of Singapore  I will change the review if I see something positive tomorrow"
Ageing,Date of stay: August 2019,30,"The checkin process took about 15 mins which is quite fast. We arrived 9pm in the evening. No queue at all. The room is clean. But it just smell bad. I think the carpet actually stink like old unmaintained building. Asking for extra pillow, they actually gave it after we insisted it. First they did not want to deliver the pillow as the cleaning service is closed. Strange.  We both has very bad alergies after staying in the hotel. For the price we paid, i don't think its worth it."
Hotel of this quality doesnt deserve to be even in Paharganj,Date of stay: August 2019,10,I am not sure if i can post the photo of the buffet breakfast area without breaking any privacy law. So i wont do it.  This hotel is an absolute avoid . You dont deserve such a punishment. Kindly do yourself a favour and choose only branded hotels cos only those ones have anything to lose.  This hotel is usually given to the people who get the cheap packages to come to Singapore in bulk groups The room ends before it starts. The wifi speeds are same as they are at Delhi Railway station.  I cant forget the bread on the buffet breakfast table. The tea was horrible. The milk was half water and the ambience was same as of Chandni chowk. Why did I have to be in Singapore to suffer like this.  The best part was I reached the hotel at 9 45. I kept asking if I would get breakfast as my booking was from previous day. The lady kept me standing at the reception and kept on saying sorry as the buffet closes at 10. Isnt that height of customer centric dealing? Finally it was 10 n I could get nothing as its all our fault anyways.  Someone tell them to buy new towels please. They are -------- .
Budget Hotel. Decent Location,Date of stay: July 2019,40,"Well connected to the MRTs. Stations just 400-500 m on either side. Rooms are clean but old. Breakfast is limited, not a lot of options in the breakfast. Staff is courteous and approachable. Rooms are little bigger than average rooms in Singapore."
Happy stay excellent service,Date of stay: July 2019,50,My friends and myself would like to thank to one of your sales manager Mr warren for his excellent service. We was stuck in between few big crowd at lobby area around 8.40am and wanted to find our way to somerset subway station as this is the first time we visit singapore. This young man walk to us and offer his help asking what can he do for us and do we need any help. My friend told asked him which way to the subway station and he trying his best to explain and we still a bit lost. Thereafter he say please come with me I walk you to the nearest mall opposite the train station. I will definitely come back again and stay with this hotel. Good service from well trained employee
Disappointing,Date of stay: July 2019,10,"For such a lovely city was disappointed with the Hotel,on arrival we were given keys told room and that part okay.got inside room so small couldn’t fit our two cases in lucky there was a single bed there and one of suitcases sat there.then decided to put goods into safe didn’t work tried ringing no answer on service dial 1. There was no book in room explaining about place emenities tv etc like most hotels.so had to go to reception to tell them,someone arrived to fix safe and when left said no charge.We just looked at one another in shock as we had only just walked into room to find it like that... then had trouble working tv and wasn’t game to go down stairs again incase we get charged..no booklet to explain the tv and stations they had like in all hotels I’ve ever stayed at even ones on very low ratings. Breakfast was just adequate had to workout what things were tea and coffee Luke warm. Place very noisy both because of road and noisey patrons coming and going during the night and early morning not caring how much noise they made.Only good thing close to shopping on Orchard rd"
Arrogant Staff & Lousy Management,Date of stay: July 2019,10,"A basic hotel for 1 night stay is just what we want while visiting Singapore for half day. Saw this hotel offering a room at an unbelievable price online, we booked and paid since its really a good deal!  I left my contact number & email address while making the reservation, at least the Hotel could reach me should there problem with my confirmed booking since the price is too good to be real.... waited for 7 days, no one from hotel has ever contacted me. So, I believe hotel is giving a genuine discount! How nice right?!  Upon check-in, we were caught in surprise because we are told to pay for the room.  Here’s the points that we couldn’t agree with: 1. Guests are told to pay extra ONLY upon check-in despite the reservation was confirmed a week prior to check-in, hotel has 7 days to reach the guest for any necessarily explanation. But failed.  2. Arrogant staff, Mary handled us unprofessionally. She told us the price we have to pay, the rate stated on our confirmation was wrong due to system breaches. I do know mistake can happened but hotel has the responsibility to contact the guest for explanation, in my case, they have 7 days to inform before we travel to Singapore from Malaysia. They failed.  3. No one from the hotel has the courtesy to contact us for but telling us they won’t honour our booked rate unless we pay. Well, I have to say the price they are asking is not unreasonably high considering the average rate for hotels in Singapore. However, we refused to be treated this way. They have no courtesy but arrogantly told us “there is no hotel with this price in Singapore, you SHOULD know!”  4. Worst! Mary told us, I can give you the money you have paid now if you don’t want to stay! I COULDN’T BELIEVE IT! Where should we go and how can we find another hotel at this very moment where we traveled all the way from Malaysia? Please imagine if you are being treated this way.  At that moment, we decided to get our confirmation honoured no matter what, we don’t even deserved to be treated this way. Look here, if hotel made mistake to load the rate online then please honour it. Should never blame guests being “naive” to think they got a good deal!!!!  My advice to all fellow travellers here, NEVER EVER believe the rate they published online."
Good property but they need to improve on Indian breakfast !!!,Date of stay: June 2019,40,I stayed here with the group. Rooms are okay. Location is good. Staff is polite and friendly. Buffet Breakfast for Indian guests was not up to the mark. They served only Wada without chutney. They were serving Ketchup instead of Chutney. The guests also complained about the fried rice which was served as one of the items in the breakfast. Some of the items in the breakfast menu was repeated during our 3 nights stay.
Dunno where to start,Date of stay: June 2019,20,"Check in time is 3pm. Arrived in the hotel at 10am. Lobby was packed with guests all from either checking out or checking in. Nowhere to rest from an early morning flight.  Room was ok. The shower floor needs a good amount of scrubbing. Carpet needs steam cleaning. The tv was useless. They were only about 10 channels, 6 of which are Chinese/Mandarin. No cable tv.  Rooftop pool is noisy during night time because of hotel's vents/aircon sitting 5 metres away from the pool. When I went in, nobody was in there. Wouldn't wonder why. Not a very relaxing spot during the night.  Food. Terrible. Not enough choices. Tried their brekfast buffet only for 1 day. Did not come back the 2nd day though I paid brekky for 2 days. Greasy ham. Only 1 fruit was served. No coffee machine.  Dont waste your money here. Go somewhere else."
"Small room, same breakfast, arrogant staff",Date of stay: June 2019,10,"We were booked at this Hotel on a Thomas Cook package . The hotel lacks basic facilities, a small double room in which a third bed was crammed in . The same breakfast menu for 4 days consisting of fried oily stuff and to top it none of the hotel staff or the Thomas cook staff did anything about the same  also arrogant front office staff , avoid this hotel as well as Thomas cook as they lured us by offering ibis or similar and then gave us this hotel which was no comparison to IBIS at the last minute"
"Good location, nice room, bad breakfast",Date of stay: June 2019,40,"I stayed at Chancellor for 4 nights so since I was in triple occupancy, my room size was pretty good with a garden view. I was happy with the room and hotel as I only spent my nights and rest of the way went wandering around. Hotel location is very good as it surrounds all expensive brands to Lucky Market which is a cheap store. The hotel is located on the Orchard road and everything is near to it. One can take a Grab and roam around wherever they want to. Hotel staff is courteous.  Breakfast is really bad as the same meal is repeated each day and you don’t have any option but to end up eating a bread toast, boiled egg and watermelon."
