,TITLE,DATE,RATING,REVIEW
10,average,2019 - 05,4,room ok clean breakfast think need improve much choice variety food really appetize stay one night transfer another hotel try
11,total let,2020 - 03,1,event nearby hotel next day hence book 4 room via ota upon check fo ask make booking could find booking tell check specific name check take 45mins 4 room ring one service number request 2 pair bedroom slipper 5 pm never arrive female operator line sound uninterested reolied check housekeeping forever shower stall overflow wet toilet area shower nothing mention pool closure ota website upon check let supposee staycation staff general legend may hotel age basic item provide room coffeetea satchet disposable toothbrush bedroom slipper sum never stay hotel look service use full serviced hotel
12,bad hotel,2020 - 03,1,positive thing hotel location room cleanliness meet basic need service nowhere high average noticed staff reception even proactive enough help store luggage insist wait bellmansecurity talk another guest linger around minute willing assist bad breakfast understand covid19 season hotel cut cost breakfast spread depress bad bird breakfast area breakfast area beside garden sparrow fly imagine kind contamination bring breakfast first night tell reception bird still fly around breakfast area picture proof hotelier never stay ever would recommend hotel anyone want proper stay management need serious help
13,alright,2019 - 12,5,say every price selling cost measure quality service depend need traveller want clean bed set aside 1 2 hour chill swim pool place want find fancy place match budget proper need deserve hotel chancellor provide basic necessity set high hope budget mediocal stay alright think frontliner need smile management work image dulllooke lobby high ceiling nice two aspect sure repeat happy guest
14,hotel dire need refurbishment,2020 - 02,2,stay price location close orchard road hotel lobby area reflective property generally outdate dire need upgrade room clean bed comfortable whilst tv channel simply appal decent international news channel room also longoverdue refurbishment bring 21st century would stay poor experienceonly positive good free internet connection
15,worth,2020 - 02,5,great location close train station bus stop within walk distance plenty nearby mall expensive tasty meal lucky plaza goto place friendly efficient staff housekeeping team helpful check need daily restaurant staff accommodate help store ice cream since fridge inside room mean chilling room amenity expect singapore hotel slightly small room adequate space 2 adult sunset rooftop pool quite enjoyable summary pleasant stay feel pay justify value get return
16,expect,2020 - 02,2,like positive staff friendly room clean towel super soft advertised restaurant evening close breakfast meagre pool disaster photograph online look bad noise air conditioning unit roof horrendous never seem stop somewhere relax stay room bathroom small move first night
17,honestly terrible,2020 - 01,1,booking room specifically book room one big bed checkin line two people front front desk ask want big bed two small bed say ummmm maybe big bed fine turn literally right behind front desk tell room big bed could get room two single bed show booking say sorry hotel full room leave ridiculous question say checkin time 3 pm room go come early people front literally get room big bed request also fault flight land night honestly baffle appal ridiculous service honestly kind perhaps try find solution price I pay would definitely expect would angry however fact even turn around say fault make even mad room old cramp well hardly amenitie pretty seedy location well expect terrible customer service definitely terrible quality consider expensive
18,excellent tour desk hotel,2020 - 01,5,hotel accommodation standard would expect 3 star rate comfortable essential need like initiative drive green sustainable offer filter water system rather bottled water soap dispenser room bed comfortable soft lumpy impress tour desk service available hotel susan hoo team amazing travel family 10 young elderly member susan helpful providing advice recommendation put together awesome 4 day itinerary work pace feel able cover key attraction able travel comfort affordable price excellent service would highly recommend tour desk service hotel
19,busy tuck away hotel,2020 - 01,4,extremely busy hotel tuck away orchard road staff friendly helpful room surprisingly comfortable would opt room high floor 8 get great view hotel breakfast adequate clean housekeeping good
20,nice,2020 - 01,5,nice 3 night stay chancellor hote singapore good breakfast clean room nice view roomthe swimming pool top building recommend surethe hotel busy problem
21,good business family trip,2020 - 01,4,great location enaugh room space business trip family trip kindly staff fast respon problem moeslem halal sertificate restorant hotel worth cost
22,clean tidy beautiful singapore,2019 - 12,4,four family member stay five day 26th dec 30th dec 2019 chancellor hotel singapore dhoby ghaut mrt station 10 minwalking distance hotel orchard road close many shopping mall shopping lot eat place close hotel excellent public transport system get place like withe short time comfort prepare walk lot even withe mrt station take comfortable walking shoe singapore generally hot humid throughout year taxi also plenty expensive since last visit singapore find cost living go hotel good clean comfortable room good ac stay bb basis comment breakfast breakfast great option staff polite helpful pool top floorthere money changer lobby area rate little low enjoy stay hotel
23,head home,2019 - 12,5,vietnam decide visit singapore way home stay hotel really great spot shopping room nice clean include breakfast price cheap price hotel postion hotel fantastic would definitely stay
24,impress,2019 - 12,2,wake phone call reception 745hrs flight uk previous day reception staff deny stop publicly breakfast intrusive female member staff state include breakfast stay finally sort go back room fetch show write confirmation document apology intrusive female apologetic food beverage manager disappoint
25,average,2019 - 12,3,spend 2 night short trip meet people never stay ever room quite small clean staff friendly everything room work nicely 2 thing upgrade number one bed hard bed like sleep plank secondly breakfast average must improve
26,bad service ever,2019 - 12,1,average room quality bad service ever put light room cleaning service noone come even call front dest 10 pm answer 10 min say call tommorrow manage house keeping pay 150 receive service
27,convenient location,2019 - 12,3,stay two night triple deluxe room room ok big enough three people bathroom amenity provide roof top pool nice location good near mrt somerset within walk distance orchard road check quick efficient mr lee fom attentive thank
28,nightmare,2019 - 11,1,rude staff begin especially jenny room reservation team next come november 16 morning 8 housekeeping name mention dean keep ring door bell sleep come time call hello hello use card open room door panic leave room 12 plus 1 pm lunch book room breakfast know skip breakfast complaining say wait finish cleaning room ask case follow schedule say yes truly amazed kind attitude hotel way train local singaporean could appreciate attitude wonder tourist treat strongly urge traveller service expectation avoid hotel nightmare experience anyway thank mr wilson accommodate early check 12 pm
29,pay get,2019 - 11,3,cheap stopover sell part singapore airline package pay little disappointed location central convenient room basic tired reception friendly agree later checkout get continue call check maybe miscommunication
30,bad hotel singapore,2019 - 11,1,absolutely ridiculous hotel stinky poor behaviour staff ridiculous breakfast racist absolutely waste everything front office manager john ridiculous hotel employee ever meet zero professionalism courtesy whatsoever never book hotel absolutely disgrace
31,location,2019 - 11,3,checkin nightmare poorly organize room basic clean good bed shower basic breakfast need location hotel prime hotel really competative price stay budget price quality okay
32,review,2019 - 11,1,pro good location con please renovate roomscarpet old smelly shower head rusty breakfast selection unacceptablei guess management already knowsnever book room breakfast please eat somewhere else order grabfood little motivation hospitality front desk people appreciate remind people heart hotelgenuine smile hospitality must book somewhere else wanna spoil mood
33,terrible hospitality,2019 - 11,1,stay 1 night 2nd november till 3rd 2019 2 room con 1 hotel provide utensil room 2 hotel provide toiletry 3 hotel tea maker u drink tea trip u ask another else charge 4 breakfast u order omllette chargeable food indian chinese chef even help u hot cold milk chargeable nobody belive internatinal hotel since hospitality terrible want extra money even water terrible experience raghav bansal 91 9999974824 room523 660
34,response,2019 - 11,1,travel 2 young kid yet check send multiple mail confirm baby cot availability etc response hotel dread stay already
35,location good,2019 - 10,1,room smell old lousy breakfast bathroom small amenity like room slipper thin like paper housekeeping 24 hour deposit incidental must cash sgd50 credit card 14 day credit back come back hotel
36,terrible experience,2019 - 10,1,go itb asia tourism show book room hotel chancellororchard body help take luggage bathroom terrible smell lobby always noisy event hear next room talk ask double bed give twin bed without explanation check ask concierge help bring luggage nobody take phone housekeeper tell job call number 1 help try still nobody help believe 4 star hotel
37,avoid useless hotel,2019 - 10,1,hotel b avoid cost con breakfast u eat bread butter veg food french fry dailypathetic food nonveg add egg dat boil properly smelly lobby carpet bad smell bed comfortable small room toiletry bathroom noisy swimming pool ac duct instal wil allow u sit even 2minutes noisy rude receptionist pro free wifi overall poor experience avoid costpathetic breakfast poor upkeep
38,outstanding service,2019 - 10,5,another wonderful stay chancellor orchard time check lobby messy lot indian tourist unable get lift push back thank mr warren happen bring backdoor lift accompany floor level feel homely moment flexible stay really worth value service like thank walk extra mile make stay convenient enjoyable
39,never,2019 - 09,1,disappointed extreme budget hotel breakfast look like something horror movie frightening feel like go wrong place three star well especially modern country singapore would never go book lesson learn check read review make assumption suffer hotel foyer little kiosk much like see train station shocking really
40,bad hotel experience,2019 - 10,1,start stay today immediately many complaint carpet look like clean long paint need change hotel smell old even lobby look shady bad part wifi working room since place towards end hallway move close lift wifi signal get strong ask customer service reply wifi work go downstairs talk front desk receptionist complain want move room near lift get well reception since need connection work could say complain request transfer tomorrow morning talk colleague room look already bit unbearable price kind justify premium price type service never book place future big loss hopefully would shed light future traveller look hotel trip advisor rate 1 5 star true rating 0 star redeem feature whatsoever please book business trip need good wifi service
41,short holiday singapore,2019 - 10,4,hotel great locatoon somerset tube station fantastic shopping area 300 yard away close selection hawker stall sell lovely food course tiger beer taxi always available hotel foyer hotel large reception friendly staff room immaculate maid clean change bedding everyday nice rooftop pool great view 360 would definitely come back
42,good hotel,2019 - 08,5,love hotel much especially rooftop swimming pool see view orchard bustle shopping district also near hotel find good eat place breakfast lunch dinner name 24hrs food joint everything walk distance
43,nice hotel amazing location,2019 - 09,5,totally positive experience place book hotel agent india base recommendation arrival pay 50 sgd deposit money refund totally exit polite enthusiastic staff locate besides world famous road orchard singapore close proximity many shopping center restaurant club eatery
44,disappointing,2019 - 09,2,arrival immediately disappoint entrance foyer bustle people noisy welcome inviting could hardly hear receptionist say us checkin quick room ok breakfast package wish stay four night breakfast room feel deserve titledining room awful scruffy overcrowded enough serve spoon etc witness one guest help chip hand little supervision toaster toast one side bread queue long often bread run pastry eat watermelon hot drink limit black coffee black tea option add powdered milk accept budget hotel decent breakfast away hotel purchase cheaply feel hotel look improve offer improve standard presentation quality hygiene use argument budget hotel poor excuse experience breakfast hand sanitiser entrance would go long way improve situation limit unattractive seat foyer mean stand much time whilst wait taxi pickup although location good use hotel recommend
45,underwhelme hotel,2019 - 09,2,stay chancellor hotel return journey italy australia break trip foyer austere noisy welcome service staff front desk ok room modest scintillate view commercial rooftop build restaurant like austere universitys cafe terribly welcome comfortable bar lounge one sit foyer couple row chair back back people wait swimming pool roof quite attractive 20 long bar cafe adjacent look modest overnight stop probably ok anything would look elsewhere
46,great location,2019 - 09,5,short stay 1519 sep business trip room nice provide free water 2 bottle day great location 5 min walk distance orchard road shopping center many restaurant long road staff nice friendly fast check check overall great highly recommend back
47,boutique hotel nice convenient location inhuman degrading treatment customer,2019 - 09,3,stay hotel second week september room corridor need freshen new coat paint carpet change carpet shampoo bad experience overcrowded breakfast area lack service staff lack supervision dine areathis result empty food dish table clutter dirty dish bird outside fly dine area pick food table time adjoin dining area select breakfast
48,one night stay,2019 - 04,3,stay hotel friend take breakfast package prefer find breakfast around hotel location close sommerset mrt service fine bad experience people mention room enough stay kid plan stay short time bathroom ok although soundproof
49,return forgotten thing,2019 - 08,1,chancellor hotel night 21082019 room n329 forget dress hang closet notify tour guide contact hotel 2 week pass receive response chancellor hoteli send email problem nobody response email write question google web answerhow understand attitude quality hotel service maybe manager put form display
50,group reservation turn ugly experience,2019 - 09,1,currently stay hotel among fellow 100 indian passenger hotel bad hotel see amenity room like tea coffee make comb shaving kit dental kit breakfast chinese orient ask arrange two indian dish say even group star get wonderful check assistance give mr satish group check help desk willing take chance experience horrible excuse name hotel industry come specially treat indians like slum dweller mean smile courtesy face good enough instead see stone cold face tour leader 2 person one twin room reach room evening find one bath towel request operator secon towel surprise say house keep close provide towel lot fro along duty manager say provide one towel come front desk collect oh god kind business run ruin name singapore change review see something positive tomorrow
51,age,2019 - 08,3,checkin process take 15 min quite fast arrive 9 pm evening queue room clean smell bad think carpet actually stink like old unmaintained building ask extra pillow actually give insist first want deliver pillow clean service close strange bad alergie stay hotel price pay think worth
52,hotel quality deserve even paharganj,2019 - 08,1,sure post photo buffet breakfast area without break privacy law hotel absolute avoid deserve punishment kindly favour choose brand hotel cos one anything lose hotel usually give people get cheap package come singapore bulk group room end start wifi speed delhi railway station forget bread buffet breakfast table tea horrible milk half water ambience chandni chowk singapore suffer like good part reach hotel 9 45 keep ask would get breakfast book previous day lady keep stand reception keep say sorry buffet close 10 height customer centric dealing finally 10 n could get nothing fault anyways someone tell buy new towel please
53,budget hotel decent location,2019 - 07,4,well connect mrt station 400500 either side room clean old breakfast limited lot option breakfast staff courteous approachable room little big average room singapore
54,happy stay excellent service,2019 - 07,5,friend would like thank one sale manager mr warren excellent service stick big crowd lobby area around 840am want find way somerset subway station first time visit singapore young man walk offer help ask need help friend tell ask way subway station try good explain still bit lose thereafter say please come walk near mall opposite train station definitely come back stay hotel good service well train employee
55,disappointing,2019 - 07,1,lovely city disappoint hotelon arrival give key tell room part okaygot inside room small could fit two case lucky single bed one suitcase sit therethen decide put good safe work try ring answer service dial 1 book room explain place emenitie tv etc like hotelsso go reception tell themsomeone arrive fix safe left say chargewe look one another shock walk room find like trouble work tv game go stair incase get chargedno booklet explain tv station like hotel I ever stay even one low rating breakfast adequate workout thing tea coffee luke warm place noisy road noisey patron come go night early morning care much noise madeonly good thing close shopping orchard rd
56,arrogant staff lousy management,2019 - 07,1,basic hotel 1 night stay want visit singapore half day see hotel offering room unbelievable price online book pay since really good deal leave contact number email address make reservation least hotel could reach problem confirm booking since price good real wait 7 day one hotel ever contact believe hotel give genuine discount nice right upon checkin catch surprise tell pay room point could agree 1 guest tell pay extra upon checkin despite reservation confirm week prior checkin hotel 7 day reach guest necessarily explanation fail 2 arrogant staff mary handle unprofessionally tell price pay rate state confirmation wrong due system breach know mistake happen hotel responsibility contact guest explanation case 7 day inform travel singapore malaysia fail 3 one hotel courtesy contact tell honour book rate unless pay well say price ask unreasonably high consider average rate hotel singapore however refuse treat way courtesy arrogantly tell hotel price singapore know 4 bad mary tell give money pay want stay could believe go find another hotel moment travel way malaysia please imagine treat way moment decide get confirmation honour matter even deserve treat way look hotel make mistake load rate online please honour never blame guest naive think get good deal advice fellow traveller never ever believe rate publish online
57,good property need improve indian breakfast,2019 - 06,4,stay group room okay location good staff polite friendly buffet breakfast indian guest mark serve wada without chutney serve ketchup instead chutney guest also complain fried rice serve one item breakfast item breakfast menu repeat 3 night stay
58,dunno start,2019 - 06,2,check time 3 pm arrive hotel 10 lobby pack guest either check check nowhere rest early morning flight room ok shower floor need good amount scrub carpet need steam cleaning tv useless 10 channel 6 chinesemandarin cable tv rooftop pool noisy night time hotel ventsaircon sit 5 metre away pool go nobody would wonder relax spot night food terrible enough choice try brekfast buffet 1 day come back 2nd day though pay brekky 2 day greasy ham 1 fruit serve coffee machine waste money go somewhere else
59,small room breakfast arrogant staff,2019 - 06,1,book hotel thomas cook package hotel lack basic facility small double room third bed crammed breakfast menu 4 day consist fry oily stuff top none hotel staff thomas cook staff anything also arrogant front office staff avoid hotel well thomas cook lure offer ibi similar give hotel comparison ibi last minute
60,good location nice room bad breakfast,2019 - 06,4,stay chancellor 4 night since triple occupancy room size pretty good garden view happy room hotel spend night rest way go wander around hotel location good surround expensive brand lucky market cheap store hotel locate orchard road everything near one take grab roam around wherever want hotel staff courteous breakfast really bad meal repeat day option end eat bread toast boil egg watermelon
61,pathetic poor disgusting,2019 - 06,1,bad hotel confusion time check smelly room toiletry bellow par faulty equipment hot water fall daughter staff refuse first aid mail follow say investigate matter would recommend anyone even staff rude include manager buffet etc
62,hotel criminal charge close,2019 - 06,1,travel abroad family always special give hotel chancellor orchard really know ruin imagine communicate online requirement adjoin connect room crucial three small kid look reply adjoining connect room base availability try luck hope available upon arrival come kicker upon check say hotel adjoin connect room explain see provide add insult injury stupid travel lot go anplace room status clear specifically demand adjoining connect room make promise room type base availability room type clear case fraud fool provide know sand hotel sand adjoin connect room would book family stay demand full refund plus damage
63,even star hotel,2019 - 06,1,go singapore trip stay hotel experience terrible room small food terrible good treat indians well overall bad experience tough location good
64,deserve call hotel hospitality industry partner,2019 - 05,1,hotel nightmare traveller india right arrogant front end staff follow rude service staff ill treat indian traveller big traveller india see stupid hotel arrogant staff ever life far hotel room amenity like dormitory please refrain guy one visit even read review please prepare nuisance choice
65,mini vacation,2019 - 05,4,reception area lift area room etc cozy breakfast upto mark indian breakfast include idlivada without chutney sambhar samosa tasty full oil omlet boil egg
66,short stay,2019 - 05,4,location fine staff friendly assistive printing ticket breakfast good rating actually average 1 star front desk manager help print ticket people really asset business
67,pathetic front office desk,2019 - 04,1,family vacation 4 day service front desk pathetic food also bad especially breakfast stay 4 day go front desk enable key 15 timesso imagine service offer
68,hotel name chance beware glow review,2019 - 05,3,agoda hotel book choice time pick hotel chancellor orchard check photo hotel especially pool location represent city center think assure long shoot first plus factor since chancellor city location traffic light room clean even curtain barely speck dust concierge spacious seem shortage worker time check front office manager one get room card information course singapore passport ready time purchase prepay sim card airport changi metamorphose multistorie mall check hotel warning please bring singaporefriendly adapter three pronged adapter since us philippine adapter work add insult injury hotel provide loan seoul hotel provide adapter although deposit get upon check chancellor see worth hotel worth convenience hotel guest adapter toilet shower skimp space forest lodge baguio big room roomy toilet shower third price cleaning lady barely speak english would ask talk supervisor even extra soap face towel agree tinagargopal review hotel bad bad bad
69,central reasonable,2018 - 09,5,hotel choose airbnb got cancel last minute glad choose hotel reasonable price minute away orchard train station 5 min away food around hotel well room great connect room stay want spend much hotel want city time back
70,horrible stay away,2019 - 03,1,room dirty someone else hair bathroom well fecei outside toilet clean entire stay arrive room small breakfast inedible waste time service also terrible speak staff would ignore serve important guest
71,bad bad bad,2019 - 03,1,let start check incheck process lobby design manage crowd peak hour poor proper system guest come 1st guest next confusion confusion room okay clean sheet towel enough amenity although would appreciate qtip water dispenser affix room instead water bottle good reduce plastic waste elevator speed wait time good restaurant locate level 2 real deal breaker arrive night tired go dinner choose eat restaurant offer much menu even choice half available really spoil mood careful use cutlery properly clean notice every day 3 day stay even morning breakfast always wipe cutlery tissue use even sticky time also bird fly around pick food everywhere bun insect perch look like fruit fly hygiene issue huge thing reason alone return hotel ever
72,disappoint,2019 - 03,1,recently travel march go check want payment first never invoice give different one book print say king room breakfast girl reception say breakfast price correct king room lucky copy wise would charge price print also pay room would allow go book room room small king bed bathroom small difficult 2 also get bath shower terrible high leg foot problem shower draw room even one small one disgusting nowhere put clothe hang stay suitcase disgusting go breakfast shock go see rubbish table weekend food almost nothing brown bread white want butter jam anything else good luck soon bowl empty staff say staff respect rude hello good morning help nothing breakfast yuki dry chip one type fruit cereal scramble egg look like power egg juice like cordial week day add bowl pancake etc still eatable go monday say pay breakfast upset going leave sick tired keep tell pay breakfast room check disgusting porter open door stunk cigarette smell awful asthma help go back reception tell believe think smoke lucky porter tell full cigarette smoke take another 30 minute find another call room new hotel know treat customer never stay also bed mattress hard rock help back pillow also hard
73,3d2n,2019 - 03,2,go meet sg flight early morning reach hotel 11ish staff kind enough allow check early city center walking distance orchard road easy get grab room pretty decent add one bed nice 1 room spacious tho toilet pretty small basic amenity thumb breakfast start 7 go 8 cutlery cup take long replenish food spread sad please opt hotel staff attitude ask clean table since table available roll eye pause sec even look presentable like get bed brush tooth hair euwwh go 2nd day rather walk sg plaza mcd breakfast would rate 3 star breakfast incident
74,basic hotel recommend,2018 - 09,2,locate closely mrt station 5mins walk however whole hotel extremely strange smelly room small especially breakfast horrible wifi wrong everything need improve
75,bad service,2019 - 02,1,duty manager know check since book online wait colleage room amenity request leave hotel sight seeing come back hotel thing request still arrive answer call front desk fifth time call first hour say already good time hotel ejoying stay
76,great location great staff good price,2019 - 02,5,location great beautiful area near bus stop shop restaurant shopping center etc rooftop pool clean good staff helpful kind really try help anything need phone call place taxi etc thing work little bit clean breakfast area people help much overall highly recommend hotel
77,location good rest ordinary,2019 - 02,1,stay small room minimal facility restaurant refuse cater gluten fee coeliac requirement suggest visit local supermarket purchase food shower room fluctuate dangerously hot cold water pressure abysmal toilet flush require several attempt lobby elevator usually full large travel group cause inconvenient congestion place might cheap suggest spend extra make stay beautiful city comfortable
78,good location,2019 - 01,4,good part hotel location close many important point main road another good part like hotel water dispense system water dispenser provide hot cold water throughout 24 hrs drink coffeetea make however find many minus point room bit small clean time check management take every thing easily bother guest bathroom alright another negative aspect breakfast meagre choice less even quantity poor time refill immediately staff bad part hotel breakfast treatment bad ask staff clean plate tell go side counter get bother bring long que happen leave get know tour operator like cox n king prefer hotel personally recommend hotel one last least elevator locate one end hotel central therefore walk long distance reach room beware select room
79,great location,2019 - 01,4,stay two night difficult give elaborate review room clean especially spacious staff efficient concierge especially helpful store luggage pool area nothing write home grand quick dip sightseeing breakfast bit strange well cold milk hot quibble location excellent 10 minute walk dhoby ghaut orchard mrt station
80,singapore,2018 - 12,3,hotel situate close business establishment shopping mall along orchard road food court bus metro clean non thing lose mile half away start line register half marathon standard charter 2018
81,cafeteria staff rude,2019 - 01,1,provide water bottle room room water dispenser ask work tell come lobby demo two cafeteria one good interior one old one day breakfast new one next day tell breakfast cafeteria menu everyday good staff frustrate
82,housekeeping use toilet shower,2019 - 01,1,arrive room give small misrepresented photo see unfortunately experience decline second day return full day explore city walk hotel room find someone recently use shower toilet leave bathroom floor obviously wet toilet use flush consequently room disgusting odour arise toilet immediately bring attention concierge duty manager respond oh housekeeping must clean properly explain graphically neither use toilet degree duty manager state would check security footage get back send housekeeping reclean room unfortunately neither solution action return dinner change shift occur duty manager deal complaint available neither room recleane check early next morning question new duty manager regard complaint sleep dirty room night communication hotel staff new duty manager state must unhappy standard cleaning however upon explain true situation manager look initial manager action explain report write housekeep aware one enter accord manager recollection footage give apology aside sorry check unsettle sleep room enter use member staff public overnight communication resolution even apology staff reinitiate conversation checkout next morning
83,unimpressed,2019 - 01,3,bed pillow fine bathroom terrible bad water pressure barely enough wash soap shower temp would stay stable would hot change cold back never warm bath high floor big step step bathshower could dangerous prepared ac quite noisy like build water filterheater much prefer bottled water
84,strategic comfortable hotel,2018 - 12,4,inexpensive price worth stay wish escape short vacation clean locate close middle famous orchard road shophacholic good place find easy reach mrt station recommend stay book hotel ensure request highy flower find beautiful greeny view window
85,new year stay,2018 - 12,1,family consist 4 member seem like hostile place indian one staff member wear spec manage breakfast 2nd floor extremely rude happen one staff member ask whole group 41 people keep luggage 2nd floor outside restraunt soon guy come shout top lung home remove luggage kind treatment totally uncalled instead welcome welcome drink tell go outside 2nd floor sit without ac ask toiletry call housekeeping number refuse give say tour guide tour manager keep brush comb bathroom slipper next morning obtain clean lady happily give food randomone day remove toaster place eat horrible treatment guest way behave would never recommend anyone go place decent behaviour really put go family celebrate new year year horrendous experience
86,ordinary,2018 - 12,2,book hotel book com 250 night breakfast include unfortunately leave paper work home show arrive charge 290 room breakfast remove kettle place hot cold water urn work properly bottle water arrival I normally one complain would never recommend hotel
87,would look elsewhere,2018 - 12,2,pro 1 housekeeping staff good 2 goodnotgreat location 3 facility cloak luggage case arrive early wish roam around till allot room con 1 room promise time check 2 premium room joke please pay 3 breakfast buffet atrocious boring extremely redundant 4 feel like total rip far well hotel available price range
88,good position good breakfast,2018 - 12,3,really really interesting position one important street singapore center really good breakfast poor nothing european people even star hotel normal hotel
89,convenient strategic hotel orchard road,2018 - 11,3,second time staying year ago place offer mpst convenient location moderate price available busy east side orchard shopping road next grand central hotel behind concordia hotel across gateway plaza orchard point old plaza also 200 away singapore plaza 313 mall shopping mall orchard walk distance room small convenient biz couple room unlimited free hot cold regular water vend machine bathroom bathup rather small even asian size ok quick shower
90,chancellor singapore,2018 - 09,5,stay en route phuket quietest room ever conveviently close two tube stop hop onoff bus stop bus colour confusing stop badly markedsign post shop roof top pool loong stunning view efficient helpful staff concierge louisthelawyer
91,choose hotel ridiculous,2018 - 10,1,bad hotel singapore terrible staff member courtesy show terrible room bad experience entire journey singapore malaysia get room break table ask reception desk change room literally refuse manner really ridiculous something pay planning visit singapore would request choose hotel choose definitely spoil holiday
92,hide gem midst giant,2018 - 11,4,usually stay heart city especially touristy place however book company business trip good room clean love rooftop swimming pool location wise strategically locate nearby two mrt station orchard road minute walk away
93,amazing,2018 - 08,5,water dispenser drink reduce plastic bottled water amazing clean room room small enough two people easy access orchard road definitely come hotel
94,nice must give chance,2018 - 10,4,room good location near centre singapore round clock service buffet breakfast need improvement inhouse gift shop sim card currency facility really helpful pick gift well
95,bad service,2018 - 10,1,check friend prior arrival th hotel business associate send luggage safe keep hotel arrival hotel approach staff retrieve luggage ever th reply pick retrieve ad 2 hand wtf even ask carry checking retrieve unprofessional listeb guest 1st speak never come back hotel
96,spend much time hotel,2018 - 10,3,hotel big room bed small use twin bed could turn around wash room lock really convenienct stay partner standard amenity like razor comb toilet carpet staff really helpful smile breakfast repeat repeat poor quality
97,good value,2018 - 10,4,hotel fancy room nicely clean location good close dhoby ghaut smrt close original killiney coffee shop close orchard station staff friendly helpful breakfast expect price range good overall good value money beware however room face night club tend noisy early morning ask quiet room
98,bed small,2018 - 10,3,4 night room quite small toilet lock amenity poor comb cotton bud razor location good mrt shopping mall food court bed small breakfast simple sorry come back
99,nice hotel great location,2018 - 10,4,hotel chancellor nice well locate hotel orchard road shopping treat right around corner dhoby ghaut mrt stop short walk away checkin quick easy room bit small sufficient sleeping need day breakfast average nothing remarkable provide enough get day go lot big tour group stay hotel time issue cause incredibly crowded lobby time wait elevator room quiet affected group overall good stay would stay
100,average,2018 - 10,3,stay 4 night business trip singapore location good near mrt station shopping malls street food restaurant room cozy bed small 08 width almost nothing bathroom amenity razor comb toothbrush slippery buffet poor unchanged 4 day stay nice swimming pool rooftop pity time enjoy
101,3 hotel without basic facility,2018 - 09,2,stay face many problem main problem like lock bathroom door 50 mb wifi per stay room clean much dust table storage area breakfast basic option proper reply staff even group advance information still take 2 hrs prosse key notatall happy stay
